Body,Date,Feedbacks,HelpfulFeedbacks,MemberID,ProductID,Rating,RealName,ReviewID,ReviewOrder,Title,Verified,Label
"We recently got DirecTV after seeing their ad blitz for 75 HD channels.  They brag about their ""digital picture and sound,"" and their great customer service. The truth is the only way to get digital picture and sound is with a HDTV and an HDMI.  Their picture is actually worse than the picture we got with Comcast.  Not to mention there is no two year agreement with cable, no picture loss when it rains, you do not have to pay for ""leased equipment, and you do not need an ugly dish hanging on your house. When we purchased our most recent HDTV, we figured we would replace the DVR we had with DirecTV and get an HD DVR to replace it. DirecTV told us we would have to pay $299 for the privlige of leasing their receiver from them.  In addition to this we would have to pay $50 because we were a new customer ""and had not established a credit history with them.""  Also, we would have to pay $20 for shipping and handling and extend our contract for another two years. Maybe DirecTV thinks it is in the cellphone business because all they want to do is lock you into long-term contracts and make you bleed money for them forever.  Their symbol should be a ball and chain because that is what they really are.  Cable here I come!",11/24/2007,45.0,14.0,AMQ1MEG334SAP,B000EUJJ12,1.0,1.0,526941.0,1.0,A Lot of Hot Air!,0.0,1
"We recently got DirecTV after seeing their ad blitz for 75 HD channels. They brag about their ""digital picture and sound,"" and their great customer service. The truth is the only way to get digital picture and sound is with a HDTV and an HDMI. Their picture is actually worse than the picture we got with Comcast. Not to mention there is no two year agreement with cable, no picture loss when it rains, you do not have to pay for ""leased equipment, and you do not need an ugly dish hanging on your house. When we purchased our most recent HDTV, we figured we would replace the DVR we had with DirecTV and get an HD DVR to replace it. DirecTV told us we would have to pay $299 for the privlige of leasing their receiver from them. In addition to this we would have to pay $50 because we were a new customer ""and had not established a credit history with them."" Also, we would have to pay $20 for shipping and handling and extend our contract for another two years. Maybe DirecTV thinks it is in the cellphone business because all they want to do is lock you into long-term contracts and make you bleed money to them forever. Their symbol should be a ball and chain because that is what they really are. Cable here I come!",11/25/2007,7.0,3.0,AMQ1MEG334SAP,B000ERD6HS,1.0,1.0,528019.0,4.0,A Lot of Hot Air!,0.0,1
"the shape is awesome you can never find an mp3 player like this the price is great it fits so many songs and real cool. i would defenuitely buy it again if i had to chose another mp3 player their are 2 problems: 1. the headphones are like a collar so you always have to wear your cube on your neck becasue having a cube in your pocket is a little uncomfortable 2. the cube's music list when you axcess the menu cant be divided(ex. artists, album, genre) it just one big list in alphabeticla order. so if whant a song  by the authors name and you dont know the song name then you cant find it",12/16/2006,0.0,0.0,A2CXKBO6IFVZM4,B000EGXL5Q,4.0,1.0,528885.0,6.0,very nice,0.0,1
"the shape is awesome you can never find an mp3 player like this the price is great it fits so many songs and real cool. i would defenuitely buy it again if i had to chose another mp3 player their are 2 problems: 1. the headphones are like a collar so you always have to wear your cube on your neck becasue having a cube in your pocket is a little uncomfortable 2. the cube's music list when you axcess the menu cant be divided(ex. artists, album, genre) it just one big list in alphabeticla order. so if whant a song by the authors name and you dont know the song name then you cant find it",12/16/2006,1.0,1.0,A2CXKBO6IFVZM4,B000EGTCEK,5.0,1.0,528899.0,5.0,very nice,0.0,1
"If you're reading this.  You are thinking about dropping some serious cash so I will try and help you out! If you're trying to decide between this, which is Adobe production studio premium or the Standard Edition do not buy  The Standard Edition, you get so much more with this version, I repeat do not buy the Standard Edition. You're probably interested in getting the Adobe production studio premium edition.  I have to tell you, this is a great product, the dynamic link is such an amazing feature a links together.  Adobe After Effects, Adobe Premiere Pro and Adobe encore, seamlessly.  You can take Adobe After Effects compositions into premiere Pro without rendering.  Then if you need to edit the composition you just pop back into after effects, tweak it adjust it pop back into premiere and is automatically updated.  It is just an amazing thing to see it in action. After effects has got a total facelift, along with encore audition and premiere Pro.  Gone is the ""palette-tosis"" of the old programs.  Where you would lose palettes have palettes on top of palettes not know where to find a palette.  The new facelift is totally awesome. Stability: I've been using these programs for few days, and they are totally stable.  One crash, I think I had and I think was my fault.  Adobe encore, I feel is the best improvements from the old version making a DVD with the new flowchart is so amazingly simple. Adobe After Effects 7.0 after effects is the bomb is you such an amazing program.  Once you get past the user interface and learn some of the nuances you can do almost anything and mean anything with video is awesome.  7.0 has the ton of user presets.  The text effects are great.  The backgrounds that you can create that come as presets, all editable.  A cool thing is with a new user presets, you can see them actually preview and Adobe Bridge.  This is cool! Adobe Premiere Pro 2.0 this program now is more in line with user interface from premiere elements.  The one thing I really enjoy now about from your Pro 2.0.  Is that I can import MPEG files from my replay TV and edit them.  This is something that was sorely lacking in from your Pro 1.5 user interfaces been revamped in the new style.  He just feels a lot cleaner smoother and more stable. Adobe audition 2.0 this program, I think has gotten the most drastic user interface upgrade.  I'm not really in the audio is what don't really know what under the hood is changed.  I do know it's got ASIO drivers now.  That is a big deal if you're an audio.  But now the user interface is more in line with all the other a video products.  Was nice about audition now is that if you have a audiophile in premiere Pro 2.0.  You can now send it to audition, change it or modify it save it and it brings it back right into premiere.  No reimporting, that is so cool. Adobe encore 2.0 if you're wondering about Adobe encore this upgrade is nice.  The automatic slideshow creator, while only limited to 99 photos per slideshow is a nice feature.  I'd use it already.  There are some limitations in the slideshow creator like again, only 99 photos per slideshow but you could link unlimited slideshows back to back to back, but you're still limited to 99.  In each slideshow.  Stability I feel in this program is vastly improved the old encore.  I was so like I was teetering on the edge of losing my whole project.  I feel of it safer and encore 2.0.  It has a ton more templates is integration with Adobe Photoshop and with Adobe After effects is amazing.  You will love it! Adobe Bridge 1.0 this program is quirky.  It crashed about 20 times.  It has the potential to be really great, but it's good takes a more time to get there.  Building of this program as your media manager.  Again, it's not there yet.  I'm still using Adobe Photoshop elements, the tagging portion to organize my digital photographs. Adobe dynamic link this program really isn't a program, but it is a program.  If you know and mean?  Basically dynamic link links together all of the applications in the production studio.  Now the hitch is you can't get this if you buy the program separately.  So to see it in action, you have to buy the production studio.  Another reason why you should invest.  But once you have it up and running.  You will be amazed.  It simplifies workflow drastically one place all this in action I bought it enough said. So there you have it my micromini review of Adobe production studio premium.  Something to keep in mind, this does come with a disk of totaltraining that reviews each of the programs give you some of the new features it about two hours.  Not really great but it's free.  When you install it the first time.  You wanna register online seeing a free plug-in are a couple templates that they offer you if you miss this opportunity the first time you install it.  You will not get another chance I believe, so make sure you register. This install comes on five DVDs income of five gigs of loops for Adobe audition, a bunch of DVD templates, and other goodies. Another thing to note, you will not be old to upgrade individual programs.  Once you buy the production studio.  So this means that if a new version of Photoshop CS3 comes out.  You will have to wait to upgrade the production studio.  You can't upgrade individual products.  This kind of rots but I guess you gotta deal. This does have online activation That's all I can think of at the moment, if I think of anything more.  I'll update this review.  Go to Adobe's web site and download the program demos.  The one thing you won't get is dynamic link so you'll have to use your imagination and see how it will fit in.  Also check out the creative cow (dot) com. With the production studio, you also get Adobe Photoshop CS2 in Adobe Illustrator CS2.  That is a huge bonus. Have some fun and get it done",2/7/2006,6.0,4.0,A4WEZJOIZIV4U,B000E8JLD0,5.0,1.0,529596.0,1.0,This program or should I say this group of programs is so cool.  It's a must buy!,0.0,1
"If you're reading this.  You are thinking about dropping some serious cash so I will try and help you out! If you're trying to decide between this, which is Adobe production studio premium or the Standard Edition do not buy  The Standard Edition, you get so much more with this version, I repeat do not buy the Standard Edition. You're probably interested in getting the Adobe production studio premium edition.  I have to tell you, this is a great product, the dynamic link is such an amazing feature a links together.  Adobe After Effects, Adobe Premiere Pro and Adobe encore, seamlessly.  You can take Adobe After Effects compositions into premiere Pro without rendering.  Then if you need to edit the composition you just pop back into after effects, tweak it adjust it pop back into premiere and is automatically updated.  It is just an amazing thing to see it in action. After effects has got a total facelift, along with encore audition and premiere Pro.  Gone is the ""palette-tosis"" of the old programs.  Where you would lose palettes have palettes on top of palettes not know where to find a palette.  The new facelift is totally awesome. Stability: I've been using these programs for few days, and they are totally stable.  One crash, I think I had and I think was my fault.  Adobe encore, I feel is the best improvements from the old version making a DVD with the new flowchart is so amazingly simple. Adobe After Effects 7.0 after effects is the bomb is you such an amazing program.  Once you get past the user interface and learn some of the nuances you can do almost anything and mean anything with video is awesome.  7.0 has the ton of user presets.  The text effects are great.  The backgrounds that you can create that come as presets, all editable.  A cool thing is with a new user presets, you can see them actually preview and Adobe Bridge.  This is cool! Adobe Premiere Pro 2.0 this program now is more in line with user interface from premiere elements.  The one thing I really enjoy now about from your Pro 2.0.  Is that I can import MPEG files from my replay TV and edit them.  This is something that was sorely lacking in from your Pro 1.5 user interfaces been revamped in the new style.  He just feels a lot cleaner smoother and more stable. Adobe audition 2.0 this program, I think has gotten the most drastic user interface upgrade.  I'm not really in the audio is what don't really know what under the hood is changed.  I do know it's got ASIO drivers now.  That is a big deal if you're an audio.  But now the user interface is more in line with all the other a video products.  Was nice about audition now is that if you have a audiophile in premiere Pro 2.0.  You can now send it to audition, change it or modify it save it and it brings it back right into premiere.  No reimporting, that is so cool. Adobe encore 2.0 if you're wondering about Adobe encore this upgrade is nice.  The automatic slideshow creator, while only limited to 99 photos per slideshow is a nice feature.  I'd use it already.  There are some limitations in the slideshow creator like again, only 99 photos per slideshow but you could link unlimited slideshows back to back to back, but you're still limited to 99.  In each slideshow.  Stability I feel in this program is vastly improved the old encore.  I was so like I was teetering on the edge of losing my whole project.  I feel of it safer and encore 2.0.  It has a ton more templates is integration with Adobe Photoshop and with Adobe After effects is amazing.  You will love it! Adobe Bridge 1.0 this program is quirky.  It crashed about 20 times.  It has the potential to be really great, but it's good takes a more time to get there.  Building of this program as your media manager.  Again, it's not there yet.  I'm still using Adobe Photoshop elements, the tagging portion to organize my digital photographs. Adobe dynamic link this program really isn't a program, but it is a program.  If you know and mean?  Basically dynamic link links together all of the applications in the production studio.  Now the hitch is you can't get this if you buy the program separately.  So to see it in action, you have to buy the production studio.  Another reason why you should invest.  But once you have it up and running.  You will be amazed.  It simplifies workflow drastically one place all this in action I bought it enough said. So there you have it my micromini review of Adobe production studio premium.  Something to keep in mind, this does come with a disk of totaltraining that reviews each of the programs give you some of the new features it about two hours.  Not really great but it's free.  When you install it the first time.  You wanna register online seeing a free plug-in are a couple templates that they offer you if you miss this opportunity the first time you install it.  You will not get another chance I believe, so make sure you register. This install comes on five DVDs income of five gigs of loops for Adobe audition, a bunch of DVD templates, and other goodies. Another thing to note, you will not be old to upgrade individual programs.  Once you buy the production studio.  So this means that if a new version of Photoshop CS three comes out.  You will have to wait to upgrade the production studio.  You can upgrade individual products.  This kind of rots but I guess you gotta deal. This does have online activation That's all I can think of at the moment, if I think of anything more.  I'll update this review.  Go to Adobe's web site and download the program demos.  The one thing you won't get is dynamic link so you'll have to use your imagination and see how it will fit in.  Also check out the creative cow (dot) com. With the production studio, you also get Adobe Photoshop CS two in Adobe Illustrator CS two.  That is a huge bonus. Have some fun and get it done",2/7/2006,0.0,0.0,A4WEZJOIZIV4U,B000E8JLBW,5.0,1.0,529601.0,2.0,Is this product worth it in one word - yes it is - okay three words,0.0,1
"Why settle for less, when you can get a brand new original colorful ultra-cool Sony VAIO FJ series laptop with 1GB RAM, 100GB disk, DVD writer, built-in webcam, etc. and all for Free! I got mine from this web site:  stuffgratis.biz/laptop",6/3/2006,2.0,0.0,ACSPCQJ54XQXM,B000E502UO,5.0,0.0,530013.0,1.0,Get a free Sony VAIO FJ instead!,0.0,1
"Why settle for less, when you can get a brand new original colorful ultra-cool Sony VAIO FJ series laptop with 1GB RAM, 100GB disk, DVD writer, built-in webcam, etc. and all for Free! I got mine from this web site:  getbestfreestuff.com/laptop",4/18/2006,25.0,2.0,A3LQWEOWBEGZSW,B000E1HDB4,5.0,0.0,530175.0,1.0,Get a free Sony VAIO FJ instead!,0.0,1
"I upgraded from Wordperfect Office 12 to X3, but have returned the upgrade to Wordperfect.  The much touted ability to import PDF files is so poorly implemented that it is all but unusable.  In addition, the Wordperfect Mail component will not load data files while my antivirus (ZoneAlarm) is running in the background.  Corel Technical Support takes no responsibility for the incompatability.  Do not upgrade unless these issues are addressed.",1/23/2006,33.0,23.0,A27U8QEUJFMCF6,B000DN7JMQ,2.0,1.0,530631.0,11.0,Does Not Perform As Advertised,0.0,1
"I upgraded from Wordperfect Office 12 to X3, but have returned the upgrade to Wordperfect. The much touted ability to import PDF files is so poorly implemented that it is all but unusable. In addition, the Wordperfect Mail component will not load data files while my antivirus (ZoneAlarm) is running in the background. Corel Technical Support takes no responsibility for the incompatability. Do not upgrade unless these issues are addressed.",1/24/2006,55.0,42.0,A27U8QEUJFMCF6,B000DINBWS,2.0,1.0,530667.0,10.0,Not Worth The Upgrade,0.0,1
