ReviewID,MemberID,Verified,RealName,ReviewOrder,ProductID,Date,Rating,HelpfulFeedbacks,Feedbacks,Title,Body
880451,A3ANBGDAJX55HD,0,1,38,B000068ILF,9/15/2009,5,0,0,Where have all the SmartMedia Cards gone....,"Although you can't swing a bat without hitting a Secure Digital (SD), micro Secure Digital (mSD), or a Compact Flash (CF) card, it's usually ""strike three"" when it comes to finding a SmartMedia (SM) card that you don't have to take a second mortgage out on your house to buy.  The folks at ShopTronics not only have the SM card your looking for, but it's a brand name card at a terrific price.  Not to mention the fast shipping, why shop anywhere else!"
889482,AIANRGQH5WNW6,0,1,19,B000065UDU,5/31/2003,5,1,2,Too Easy. . .and IT WORKS!,"Easy to program.  Instructions are great.  It works with all of my stuff (some high-end, some low end, some old, some new).  I cannot imagine an easier remote to program and use.  Well worth the money!"
894842,AD10M66QB2LA8,0,0,5,B000063EMX,6/18/2003,4,20,32,"Great piece of software, nice update.","Although this update is not as big as the one from 5.5 to 6.0, it is still worth buying. Actually the healing brush/healing patch tool itself is worth the price of the upgrade. When you think of it, how many of us digital photographers would gladly pay that price for a plug-in that helps us fix blemishes, scratches and wrinkles in a couple seconds?"
899952,AFQRD8UY20DJ7,0,0,6,B000060OEN,8/21/2006,5,1,1,Easy to Use,"Easy to program. Up and running in 60 seconds. Big, clear numbers."
914162,A3FQKJB1T6UJKM,0,0,12,B00005QT2X,8/13/2002,2,5,5,Watch out for buggy software,"Although we received this for free with a computer purchase, it has not yet been worth it. After struggling with crashes and extremely slow speed (e.g., 60+ seconds to launch Word) and spending hours on the phone with various tech support reps, all the while thinking it was a problem with the brand new Dell or Windows XP, we encountered an error message that would pop up upon shut down. It indicated a problem with the file SDII.exe. I did a quick Google search and discovered that SDII.exe is a file that the Microtek software installs and launches on startup. The file has a known bug that causes it to hog most of your processing power and RAM. I checked the Task Manager, and sure enough, SDII.exe was there, consuming 99% of the CPU. Since that file is only necessary if you use the scanner's one-touch keys, I disabled the file, and we had our computer back."
919002,A5M3357274SFP,0,0,2,B00005O7CM,3/28/2002,5,4,4,the best cd player i have ever used!,"Everything is great on this player.  The batteries never run out because the system recharges the batteries, and it still has never skipped on me.  It is really worth the price."
926309,AOUGJZRUDHW27,0,0,26,B00005MNGA,3/17/2002,4,18,18,Worth the Price,"... I have had no problems with the unit so far, and it does what it is advertised."
931261,A1GG5XSGB1Y897,0,1,33,B00005LEN4,1/11/2008,5,0,1,no problems,Everything was just the way is supposed to be..... no problems with anything thanks
934051,A3R2WQHF6RDVBC,0,1,66,B00005KB24,6/3/2002,5,0,0,Superb,"Easy to install. Fast. Excellent software. Everything worked without a problem, and without a call to technical support. All wireless clients can print, everyone can get on the internet, fast, everyone has their own email. This is one best buys I've made to date. Excellent!"
941066,A34DJLE4C12KB3,0,0,100,B00005BSM0,2/16/2004,2,2,2,Not that great.....,Although this tub seems much more comfy then the other ones it is a pain in the neck to dry.  I would have to ring it out really well then put it into the dryer with a dry towel to soak up all of the extra water.  It eventually got holes in the white mesh part and had to buy one of those things to prop the baby up in the bath tub..another $10.00!  So all together this not-so-great tub cost me $30.00!!  You're much better off getting a different one.....
942347,AS8NUTMGSW6AD,0,0,2,B00005BHW5,5/9/2001,1,10,27,WordPerfect Office 2002,"Although WP Office 2002 probably represents a significant upgrade with many new features and added stability, potential users should consider before purchase that WP Office may not be uniformly compatible with Windows 2000, depending on operating suystem and hardware configuration. After successfuly installing, the WordPerfect component of Office 2002 might not run."
945536,ATQK0662C2PEE,0,0,1,B00005B0C3,8/12/2002,1,13,37,Rating Questions,"Although you state this is Outlook 2002, I received Outlook 2000 [the box clearly states it is Outlook 2000 -- with an exclamation point after 2000 -- i.e. 2000!).  I have an XP and requested the latest version of Outlook (2002) not 2000.  Also, I filled out the form for a rebate and never received it.  I have been charged your (then) full price for the item.   How can I rate version 2002 when I received 2000 (which I already had)?"
965131,A2WKFRJUGW6I13,0,1,12,B000056J23,10/12/2001,1,27,31,Not as good at it seems!,Although this sounds like a great idea...it's not.  These connectors make the strollers too wide to fit through even doors accessible to wheelchairs.  The stroller's wheels get all hung up on one another in the middle every time you make a turn.  I thought this gadget would save me from having to buy an expensive double umbrella stroller.  Since I gave it a good try the strollers are gently used and cannot be returned.  Now I'm out the price of two strollers and the connectors.
965177,A3RAFYT8XQLTNH,0,0,44,B000056J1W,2/1/2003,4,7,7,Saves a lot of bumps!,"Easy to put on, but sometimes easy to come off!  The only problem we have had is with the cornors.  2 of the 4 have come off in 5 months time, which isn't too bad.  My son pulled one off and the other one came off because with getting up and down from the couch we bumped it a lot and it came off.  Rest of it has stuck great, but we make sure we keep little hands from pulling it off!  One thing we were worried about was the finish on our coffee table, but the tape is great and doesn't take any of the finish off, which makes us feel a lot better!  Still better then the ones that have elastic in them, those are very easy to take off, but I wish this product would either come with stickier tape, or extra tape!"
973322,A1D701WZY84I8P,0,1,48,B000050H5N,1/16/2007,4,1,1,Envirioncare Pre-Filter,Everything was OK.  Shipping was timely even though it was right before the holidays. Relatively easy to install; instructions were included. Had to cut filter to fit the particular model air purifier we have. To sum up-was very satisfied and would purchase again.
982217,A22I55P15NSAOX,0,0,2,B00004Z668,9/7/2008,5,1,1,"Excellent product, stays on in wash, use to id items and for kids safety as well.","Although this stuff is expensive it pays for itself the first time you get the winter coat your kid left at the park back because you had your phone number it.  It stays on through the wash (at least for 25 times), is easy to put into clothing and is not scratchy. I put my home and cell phone number on the inside tongue of my kids shoes (since they wear shoes every day and do not have that many pairs it means they always have the info). If they are separated from me they have the numbers so I can be reached.   I used to try to write it with a sharpie, but it is often tough to find enough ""blank space"" to write a legible phone number.  In fact, I used to write my phone number ON my kids with a sharpie when we would go to say, an amusement park, but this is less embarrassing for all. Most of the time I iron it onto the label tag.  Do not try to iron on plastic (such as raincoats) or some nylon that will melt at high temps."
993314,A2VEFAY4OV6WNN,0,1,2,B00004VUM7,12/29/2001,2,2,2,Save your money and don't bother with this item,"Although you will save money when purchasing this Nectron cartridge as opposed to the original Epson cartridges, the amount of ink you will waste cleaning clogged heads as well as the wasted photo paper will more than negate the savings. These cartridges are extremely unreliable!"
993400,A1I3Y3YXVTHUO8,0,0,25,B00004VUHO,1/6/2001,5,27,29,Great Gift For Students!,"Although when I purchased this item for my husband, a Ph.D. student at Notre Dame, it only had 2 stars and a mostly negative review -- my husband has found it VERY easy to use and LOVES IT! It picks up all types of fonts, font sizes, and even lightly printed text.  He has had no trouble with the transfer (of text from the scanner to his computer)and uses it often!  I am glad I didn't listen to the negative review -- it seems to have been misleading."
995596,ALO0EXS224ZSU,0,0,11,B00004U8A1,12/17/2007,4,1,1,Very good value,Easy to put together and appears to be sturdy.  Two shelves were nicked during shipping and a call to the manufacturer led to a no-hassle replacement that arrived in about one week.
996406,A1C18DRLUXBRIP,0,0,2,B00004U1TC,2/17/2002,4,1,1,Wonderful,"Everything is great with this printer, the color is tremendous. Print speed is very fast and very clear. The only bad thing is the warm up time which is several minutes."
1003263,A3KCFD95XJ3N5N,0,1,14,B00004T0RF,10/1/2001,4,0,0,Very Good,"Although you can see the colors, this Pocket PC PDA is really helpful at your work, home or just when you get a little bored."
1006017,A3HOUTBFX1VOWX,0,0,3,B00004SPCH,6/25/2000,3,126,179,Your money is better spent elsewhere,"Although this telescope is better than the ETX-90, it is still a bit too pricey. Your money is better spent elsewhere. If your serious about getting into amatuer astronomy, pick up an issue of Sky & Telescope or  Astronomy, and look at the telescope ads they have throughout. You can pick  out a telescope of much larger aperture for the same amount of money. For  about 850 you can easily get a 10-inch Newtonian on a Dobsonian mount.  Don't make any hasty decisions, shop around, trust me on this."
1013045,ACZP0C7LKH8L8,0,0,2,B00004DTT9,6/13/2001,5,18,18,smaller than the others,"Although this was not my first choice I ended up buying this booster because it was smaller than the other boosters. I first bought the Safety 1st Fold Up Booster because it just looked ""cooler"" and it had a tray. My table however, has a ""lip"" under the top of the table and the first booster would not fit under it. I bought this booster because it was smaller and would fit under my table ledge. The step has come in very handy now as we don""t use the booster as much any more. It allows my daughter to wash her hands after dinner by her self and manage to get into all sorts of things by her self! Great product as is all Safety 1st products."
1013100,A3RRAY19U31SHG,0,0,34,B00004DS1N,5/9/2000,5,102,102,A great first time PDA!,"Although this unit lacks the spacious memory capacity of most of its siblings, the Palm IIIe packs in most of their features and is an excellent entry level device to experience the convenience and fun of PDAs."
1018693,A1LCS3WQEWUO6Y,0,0,4,B00003JAUA,10/31/2008,1,0,0,Over-bloated version,"Although windows 2000 server is still a good choice today, this version packs far more onto it's frame than needed. Stay with the other versions of 2000 server if you like good performance, only buy this one if it's what you really need."
1022981,A18C5AJ277PFVO,0,0,3,B00002S940,12/2/1999,2,45,45,"Too hard, too slow!","Although well reviewed in the press, I, too, found this virtually unusable.  It is not very intuitive, and like the other reviewer I found it to be buggy and the cause of a multitude of GPFs. The furniture styles are  limited, and it takes alot of time to build a floor plan for a house  without square rooms.  Then you try to furnish the room, and disaster  strikes.  I give up."
1030257,AYKOTWE3EC8JF,0,1,5,B00001X5EJ,1/19/2000,5,12,13,Great hands free,"Although you need to have some separate way of holding the phone, this unit works very well as a speaker and microphone.  Buying this unit and a universal holder (readily available) is far cheaper than a custom handsfree  system from the manufacturer, so I would highly suggest this unit, and also  recommend pairing it with a universal holder for your phone."
1036117,A30BVT4DLHELKD,0,1,14,B00000JZKB,10/11/2005,4,0,6,It is valuable item,"Everything is OK now. Of course, if you want some more utilities, buy the expensive item"
1036916,A5YEECQSS3OXV,0,0,245,B00000JSGH,11/7/2000,5,9,9,"So far, so good!","... I still can't figure out the equalizer feature!  That aside, the unit is great."
1048706,A9AF03TZQ42BG,0,0,41,B00000IGBF,5/9/1999,5,8,8,The Palm 3x has changed how I work and travel,"It is amazing that something so small and so light weight can do so much.  I love my laptop, but the Palm 3X has replaced much of the on-the-road work I do and saves me from lugging my laptop through airports.  It syncrhonizes  with my desktop and laptop, stores notes, gives quick access to my roladex  and with the modem attachment allows me to get my email.  I can even put  games on the Palm 3X for when I get bored in meetings.I found learning to  write graffiti was intuitive and easy but my friends found the keyboard  attachment helpful.  I have only used the palm for 2 months and am still  learning all it can do.  The O'Reilly book David Pogue wrote gives clues to  all sorts of extra stuff that doesn't come in the manual."
1048708,A35DA1GVDHJNFY,0,1,43,B00000IGBF,2/25/2000,5,8,8,180 degrees shift towards productivity,"As a frequent traveler I've often found myself in a situation where a notebook/laptop was a burden to carry and use (where do I plug in to recharge?). With Palm IIIx i've met a device which can hold the regular  data I need :bussiness and personal contacts, appointments, e-mails.  The  new screen offers better contrast and the AAA batteries seem to run  forever."
1048710,A1LVS0K76444PA,0,0,45,B00000IGBF,12/27/1999,5,15,17,EXCELLENT PRODUCT,"I was quite unsure after I order the Palm IIIX, but once I received it and learned to work it, I wondered to myself, how did I ever live without it. It's the most compact, efficient and dynamic product on the market.  I am a  college student and being organized is top priority and with the Palm IIIX,  the days of paper organizers are things of the past.  A MUST HAVE!"
1048711,A1QODX2J2NM26L,0,0,46,B00000IGBF,1/1/2000,5,12,13,For a first purchase...this is the one,This was the first PDA I had ever purchased and I was unsure if the product would meet my needs.  After reading all the reviews I decided to purchase the Palm IIIx...and I have to say that the product more than lives up to the reviews.  It is easy to use and has more than enough features for  the standard user.  I wonder why it took me so long to purchase one after  using my Palm IIIx.  I would recommend this product to anyone.
1048715,AOYPU3VYCOFOP,0,1,50,B00000IGBF,10/2/2000,3,14,15,"When it worked, I couldn't live without it...","When I first got my IIIx, I adored it.  I simply couldn't live without it.  All of my appointments were in there, my friends addresses, phone numbers, everything.  As soon as I knew of a meeting or doctor's visit, got a new phone number, I would pop it open and enter it.  I was in heaven."
1048716,A1QFFQPMUSKVNQ,0,0,51,B00000IGBF,12/30/1999,5,11,11,A great Organizer for Students,"I bought Palm IIIx last semester. It was very helpfull for me. I was able to keep track of all my home works, and dead lines. This think actually pumped up my GPA! . If you are a student, just go for it. Its very easy to use, and has a lots of free applications and games in the internet. Even  better this thing has a flash rom, which means the OS is upgradable(The  upgrades are also FREE in the net), not only that you can also share  information with other Palm III, V or VII Organizers through the IR  transmitter. For this price you can't get any thing better."
1048717,A35VTCF8QVMYAH,0,1,52,B00000IGBF,2/4/2000,4,15,16,Beats Handspring,"While Handspring launched the Visor to compete directly with the Palm IIIx, it falls short of this great PDA."
