Body,Date,Feedbacks,HelpfulFeedbacks,MemberID,ProductID,Rating,RealName,ReviewID,ReviewOrder,Title,Verified,Label
"After seeing my brother's VR3 in action, I gritted my teeth, ignored the bad reviews and took the risk.  Mine has performed just as well as his does.  Pros:  the compact design is totally unobtrusive in my dash, the forward/back controls are easy to use while driving, having the option of connecting by USB or audio-in is very handy.  Cons:  I had a little difficulty finding a good station among the presets (but that could just be a peculiarity of my town), when the unit is turned off it resets to the beginning of the track instead of just pausing, shuffle works fine when it's reading from a smaller storage device but gets super slow when it's reading too many files.  I use mine mostly with a USB microSD card reader.   My microSD card is 4G, and if I fill it up, start-up and shuffle become unbearably slow.  With 1-2G on it, it works fine (who really needs 4G of music at one time anyway?).  I've been super happy with mine so far, and haven't had any of the technical difficulties that others say they've had.  Most of the cons I've mentioned are common for transmitters of this price-range, and the pros are the reasons I chose this one over the others in the price-range.  I highly recommend getting a small USB microSD card reader to use with this, the ""Sandisk MobileMate Micro"" is absolutely tiny - about half the length of the average Flashdrive so it won't stick out of the unit like a sore thumb J.  I've also gotten in the habit of skipping to the next song right before I turn the car off, so I don't hear the same song start over when I turn it on next.  That's just a small annoyance from an otherwise fantastic little device.",9/5/2008,0.0,0.0,A1QMQ2AXURPVRN,B000EO771W,4.0,0.0,528342.0,10.0,"Good product in general, GREAT for the price!",0.0,0
"After searching around the internet for a pen-mouse with pressure-sensitivity, I came upon this product and decided to give it a try despite the fact that I could find little information on it.  I returned it after two days of use. The ""ergonomic"" pen is unbelievably light and isn't weighted to improve ease of use.  The pen is made out of hollow plastic, it rests strangely in the hand, and it doesn't seem to respond consistently. In order to get any use out of the pen, I was forced to hold it at an awkward angle (almost a 90-degree angle) and, over a short period, I found that it would stop responding as I eased back into a more natural position.  What's more is that the cord, which weighs far more than the pen itself, constantly got in the way and made it even more difficult to use. What really excited me about this pen-mouse was that it had a fairly high number of levels of pressure-sensitivity (as high as my low-cost Wacom pad!).  Unfortunately, this didn't matter as precision was an absolute joke and it was nearly impossible to force the pen-mouse to do any of the things I needed (from drawing to web browsing and other simple actions). I highly recommend staying away from this mouse.  Whether you're using it for its ergonomic ""benefits"" (after holding this pen at a 90-degree angle for an hour or so my wrist was killing me) or for its potential for artistic application, this pen-mouse is a flat-out disaster.",4/3/2006,10.0,10.0,A2NBASPZH4H3T,B000ELQO8W,1.0,0.0,528657.0,8.0,Difficult and poor product,0.0,0
"After setting this up per the instructions, I now receive full bars anywhere inside my apartment. However, this does NOT translate to any better signal quality to my phone. I have AT&T service in Chicago, which is utilizing the ~ 850MHz range. I bought the 800MHz model.",7/20/2008,2.0,1.0,A3A4KY0WL2I00C,B000E14G7S,1.0,0.0,530295.0,7.0,More bars? yes. Better quality signal? no.,0.0,0
"After seeing my friend Dan's Forerunner and the data on the web, I had to have one. With web offers and rebates, local stores couldn't touch the net price. I've had it close to a month and have no complaints. I'm able to monitor the heart rate and have a clear idea of how my training is going. It's also nice for those experimental rides where you're not sure how far or how hard you're going. Combined with a wired bike computer with cadence, I have all the data I need. The Garmin software is easy and the Motion Based website is even better.",9/30/2007,1.0,1.0,A1OJPXDPC5L43Y,B000CSWCQA,5.0,1.0,531363.0,647.0,Forerunner 305 keeps me focused.,0.0,0
"After sent away to properly learn how to marry, Victor, while practicing jokingly puts a finger on a branch. But, when a corpse of a murdered bride pops out and claims that she is Victor's rightful bride, He has a dilimma that sends him to find out if there really is true love in death til we part. Tim Burton has been notoriously known to have a weird style of film aking. Look at his films, Beetlejuice, Ed Wood, Big Fish. They have all have strange characters. This film is no exception. Burton sets out that he still has his style and weirdness. He is probably the only one of the filmmakers that can show beauty in things grotesque. He takes the weirdest things, the weirdest people, and somehow makes them human. He shows that the grossest things have a heart, and that you can care for them. He is a great storyteller. He can take stories and make them into fairy tales, myths of legend, or just plain legend. He strokes the imaginations of all his viewers by providing us with great visuals and vibrant colors. Tim Burton can make some very beautiful films. This can be added to that list. Danny Elfman has created some great songs and scores for Burton. This was probably one of his most solid efforts as a composer. His score perfectly fit the scenes and his songs were great. He can take the music and make the scene even more beautiful with his score. His score can make or break the film, but it didn't have to because of some of the score was fantastic. The voice work was solid. I thought that Johnny Depp was perfect for the part of Victor, because he has that style and the voice that would suit the character. Also, Helena Boham Carter also did some great voice work, and I am glad to see that she is getting mainstream work, after all of her long years on the independent circuit. Also, Albert Finney and Christopher Lee were great as their respective characters. The only problem that I had was with the short runtime. I felt that they could've made it longer and devolop it more, but it is stop-motion animation, after all. Even if they made it longer, it would take more time and money to do that and it would end up making the film come out later than this year. I was glad that they got a beautiful film done in the short amount of time that they did it in. I was please that they accomplished a whole lot. Overall, This was a beautifully, vivid movie made by the king of quirkyness, Tim Burton. I enjoyed every minute of it. It was a great animaton, and it deserves some regonition and respect from people that love and cherish Burton's films. I feel that Tim Burton is a great master of the art of making quirky things beautiful. Some people say that Sam Mendes is the king, but in my humble opinon, I feel that Tim Burton is the king of all things quirky. I urge you to see this marvolously beautiful film.",9/25/2005,3.0,1.0,A36HBE2C5SQ2E6,B000C3L27U,4.0,0.0,535095.0,69.0,This movie is alive and well.,0.0,0
"After seeing The Nightmare Before Christmas about five-hundred times (that may not be an exaggeration), and loving it every time I saw it, I couldn't wait to get something new from the same creator as Nightmare. Corpse Bride was that something new, and though Nightmare is definitely the better of the two, Corpse Bride is still fun and entertaining nonetheless. It revolves around the arranged marriage of two young people, names of Victor and Victoria, both of whom have no idea what they are getting into until the very last moments before the marriage. But surprisingly, at the rehearsal, they have a connection, and their marriage seems as though it won't be such a bad thing. Still, though, Victor is nervous to the point of bumbling, and fails his marriage vows miserably. Told to practice his lines, the rehearsal is postponed and Victor makes a quick escape into the woods. While here, he practices on the nearby trees, only not everything is a tree. In accident, he places his ring on the hand of a dead woman named Emily, who becomes Victor's corpse bride. From here, Victor must find a way to escape from the land of the dead and get back to his fiancee Victoria, while we, the viewers, are trying to figure out how the corpse bride got to where she is now. Though short, Corpse Bride still has a lot to offer. The animation is great, far more detailed than Nightmare, and the moody settings are what you expect from Tim Burton. And the character designs are excellent; every one is unique from the rest and all of them have personality. To add to that, the voice acting was exceptional as well, with songs that sound similar to that of The Nightmare Before Christmas. And where the length of the film may not be so much, the DVD extras surely make up for it. I'd recommend this to anyone who liked The Nightmare Before Christmas, or who grew up watching the claymation Christmas cartoons. Also, as an artistic film, there are few to rival Corpse Bride. It sets a dreary mood at the beginning, and continually adds to that mood throughout, yet is still able to draw laughs.",2/4/2006,5.0,4.0,A29Y34ALWJUGB5,B000C3L27U,4.0,1.0,535290.0,264.0,Entertaining Nonetheless,0.0,0
"After searching for literally the last month, I have to say I am happy with my purchase of my Brenthaven Pro.  This pack is the only one for under a hundred bucks (shop around) that I really trust with my MBP.  The protective padding around the computer is tough and thick all over.  The oversized zippers seem very secure.  With the lifetime guarantee, the bag is worth the money.  The looks aren't super cool, but that helps when you're on-site all day and don't want people to know what is in your bag.  It is an understated powerhouse.",7/3/2008,1.0,1.0,A2LAIH5KJEQIH2,B000BYGFYU,5.0,1.0,535664.0,16.0,My Macbook Pro is safe!,0.0,0
"After spending $3000 on your laptop, you want to protect it.  This backpack fits my 17"" MacBook Pro perfectly.  I feel totally confident that I won't have any accidental damage when it's in the padded inner shell. There are plenty of compartments for my other accesories, iPod, magazines, and notepad.  The bag is expensive, but well worth it (for me it's not overkill).  This is probably the most well crafted and durable bag/backpack I've owned.",9/24/2007,2.0,2.0,A1QMZWI488QKMG,B000BYGFYU,5.0,0.0,535668.0,20.0,"Sturdy and functional home for my MacBook Pro 17""",0.0,0
"After searching on the internet, I found this one to be the best deal and saved quite a bit from buying it directly in a store.  My husband had it on the wall in just a few minutes and it was exactly what we were looking for.  It works great for our kitchen tv and would highly recommend this product.",1/31/2007,0.0,0.0,A3E6SMQNS4BOT8,B000BYCNM8,5.0,1.0,535735.0,15.0,Excellent and Easy to Install!,0.0,0
"After some extensive research, I settled on the D50 as the best value in the dSLR market.  I worked it down to the D50, the D70s, and the Canon Digital Rebel. It was my goal to jump from taking a bunch of point-and-shoot photos with my much-beloved Fuji camera to really learning photography with some level of sophistication by jumping to a DSLR with some real power. I am still working my way along the learning curve as a photographer, but I have been thrilled with the d50.  I had the benefit of a friend with a d70 and was able to handle that camera extensively before my purchase.  It has some added features, but if you, like me, are not at a photography level where you need cutting-edge stuff like depth-of-field preview, you would never know the difference.  I have yet to take a photograph and have the feeling that I wish I had spent the extra money on the d70.  It may well be that this is an ""entry-level"" dSLR, but if that is a fair description, it is also fair to say that the ""entry"" point is very high.  More often than not, the phrases ""value"" or ""entry-level"" imply ""get ready to be disappointed.""  That is definitely NOT the case here.  If you've never had a pro-level dSLR, at least, you'll feel like you're using a Ferrari. One concession I did make to the d70 was the lens, however.  The consensus on the lens is that the d70 comes with a better base lens than the d50, so I bought the d50 body and the d70 kit lens separately.  I've been very happy with the results.",3/28/2006,8.0,8.0,AKN6V8YF1ORLO,B000BWE4TK,5.0,0.0,536373.0,115.0,Great place to start in digital photography,0.0,0
