ReviewID,MemberID,Verified,RealName,ReviewOrder,ProductID,Date,Rating,HelpfulFeedbacks,Feedbacks,Title_x,Body,Label,Sales Rank,Brand,Sales Price,Title_y,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
592205,A35IL95AUDHEH6,0,0,2,B00067TTZE,11/4/2004,1,13,104,get 20GB iPod for same price,"Why would anyone buy this when you can get a 20GB iPod that will hold 4 times the number of songs (and even MORE if AAC encoding is used) for the same price??? In addition , iPods can be used as portable hard drives and can display your calendars and contact info.",2,22950,Creative Labs,179.99,Creative Zen Micro 5 GB MP3 Player White,Brand->Creative Labs,BatteriesIncluded->1,Color->white,Binding->Electronics,EAN->0054651082366,Label->Creative Labs,ListPrice,Manufacturer->Creative Labs,Model->70PF108000026,MPN->70PF108000026,NumberOfItems->1,PackageDimensions,ProductGroup->CE,Publisher->Creative Labs,Studio->Creative Labs,Title->Creative Zen Micro 5 GB MP3 Player White,"Feature->Micro-sized 5 GB digital-music player stores up to 1,250 songs at 128 kbps  or 2,500 songs at 64 kbps (MP3/WMA)",Feature->Vertical touch pad simplifies navigation; body is curved to fit your hand,Feature->FM radio with 32 station presets for listening and recording; 10-hour voice recording through built-in microphone,Feature->12 hours continuous playtime using the supplied rechargeable lithium-ion battery; extend your listening using multiple batteries (sold separately),"Feature->Includes headphones, a belt clip, a stand, and an AC/DC power adapter"
566946,A1ZC1GXP1SX4T9,0,0,1,B00086HTO6,2/8/2006,1,1,63,"Don't bother,  Get an iPod.","The iPod is better, more popular, and more compatible.  Why go against the grain.  Do the right thing and go Apple.",2,27259,Creative Labs,199.99,Creative Zen Micro 6 GB MP3 Player Silver,Brand->Creative Labs,BatteriesIncluded->1,ClothingSize->6GB,Binding->Electronics,Color->silver,Feature->FM radio with 32 station presets for listening and recording; 10-hour voice recording through built-in microphone,IsAutographed->0,IsMemorabilia->0,ItemDimensions,Label->Creative Labs,ListPrice,Manufacturer->Creative Labs,Model->ZMIC6SV,MPN->ZMIC6SV,PackageDimensions,ProductGroup->CE,EAN->0054651093966,Feature->12 hours continuous playtime using the supplied rechargeable lithium-ion battery; extend your listening using multiple batteries (sold separately),Feature->Includes high fidelity earphones and USB 2.0 cable,Feature->Micro-sized 6 GB digital-music player holds 3000 songs at 64 Kbps WMA or 1500 songs at 128 Kbps MP3,Feature->Vertical touch pad simplifies navigation; body is curved to fit your hand
599694,A1ELKCBGGGOPCJ,0,1,3,B0002ZAIM8,1/23/2005,1,18,89,"Overpriced, and worthless","Where does apple think they are getting off with this product.  150 dollars for a 1 gb player, that doesnt even allow you to see what is comming up next on your playlist?  For 150 dollars you can buy a 15gb player from dell, with a backlit screen, nice interface, and wow, it shuffles too! I am a fan of the ipod, and I have nothing against apple, but this is proposterous.  They are actually advertising and using the fact that you don't know what you are going to hear next as a selling point.  Oh, the revolution of shuffle. Granted, this is a product oriented for people looking for a non hard drive/ flash based player, but in the end, it's just another way for apple to grab your money.  But, if you are a mac user, you probably have tons of money anyhow.",2,578,Apple Computer,99.99,Apple 1 GB iPod Shuffle,Binding->Electronics,BatteriesIncluded->1,Brand->Apple,BatteryDescription->1 Integrated rechargeable,EAN->0718908849750,Format->CD,Label->Apple Computer,ListPrice,Manufacturer->Apple Computer,Model->M9725LL/A,MPN->M9725LL/A,NumberOfItems->1,PackageDimensions,ProductGroup->CE,Publisher->Apple Computer,Studio->Apple Computer,"Feature->1 GB model holds up to 240 songs; supports MP3, MP3 VBR, AAC, Protected AAC (from iTunes Music Store, M4A, M4B, M4P), and WAV","Feature->Up to 12 hours of battery life, with approximately 4 hour charge time",Feature->USB 1.1 and 2.0 compatibility through integrated USB connector,Feature->Compatible with Mac OS X v10.2.8 or later (Mac OS X 10.3.4 or later recommended for use with low-power USB ports) and Windows 2000 with SP 4 or Windows XP Home or Professional with SP 2,"Feature->Earbud headphones, lanyard, and USB cap included"
599697,A1F24GY1PWA5KG,0,0,6,B0002ZAIM8,2/8/2005,1,11,60,NOTHING TO IT,Some much better out there... Suprisingly over priced for what you get.,3,578,Apple Computer,99.99,Apple 1 GB iPod Shuffle,Binding->Electronics,BatteriesIncluded->1,Brand->Apple,BatteryDescription->1 Integrated rechargeable,EAN->0718908849750,Format->CD,Label->Apple Computer,ListPrice,Manufacturer->Apple Computer,Model->M9725LL/A,MPN->M9725LL/A,NumberOfItems->1,PackageDimensions,ProductGroup->CE,Publisher->Apple Computer,Studio->Apple Computer,"Feature->1 GB model holds up to 240 songs; supports MP3, MP3 VBR, AAC, Protected AAC (from iTunes Music Store, M4A, M4B, M4P), and WAV","Feature->Up to 12 hours of battery life, with approximately 4 hour charge time",Feature->USB 1.1 and 2.0 compatibility through integrated USB connector,Feature->Compatible with Mac OS X v10.2.8 or later (Mac OS X 10.3.4 or later recommended for use with low-power USB ports) and Windows 2000 with SP 4 or Windows XP Home or Professional with SP 2,"Feature->Earbud headphones, lanyard, and USB cap included"
527190,A3BDSQSO8Q7S02,0,0,64,B000ETVKHE,5/12/2007,5,0,1,better product for smart consumer,"This is a great MP3 Player for the price. It far exceeds the major competitor for value.  Having purchased 2 others, a Mini and a Nano for my children, I was looking for something less expensive for myself.  I read the reviews and ratings on this and several other brands and decided to go with the Sansa.  No regrets here!!!  The Sansa was 10x easier to set up than the Ipods were.  The only downfall is the difficulty of making playlists.  But, for the money, I can live without this.  My kids like my Sansa so much they've asked me to replace their Ipods with one.",2,53,SanDisk,249.99,Sandisk SDMX4-4096 Sansa e260 4 GB MP3 Player with SD Expansion Slot,Brand->SanDisk,BatteriesIncluded->0,ClothingSize->4 GB,Binding->Electronics,Color->Black,"Feature->Convert most popular video formats (MPEG-4, WMV, DivX) to play on device",Feature->User-replaceable rechargeable lithium-ion battery for up to 20 hours of life,Format->CD,HardDiskSize->4,IsAutographed->0,IsMemorabilia->0,ItemDimensions,Label->SanDisk,"LegalDisclaimer->This Site operates AS-IS and AS-AVAILABLE, without liability of any kind. We are not responsible for events beyond our direct control. This Policy is governed by Florida law, excluding conflicts of law principles. Any legal actions against us must be commenced in Florida within one year after the claim arose, or be barred.",ListPrice,Manufacturer->SanDisk,DisplaySize->1.8,EAN->0619659026363,"Feature->Sleek, ultra-thin digital audio/image/video player with 4 GB of flash memory","Feature->Compatible with MP3, WMA, and WMA-DRM10 music files (PlaysForSure)",Feature->FM tuner with record capability and voice recorder; bright 1.8-inch color TFT LCD
527192,A3T70O2IDJ12EY,0,1,66,B000ETVKHE,5/13/2007,5,0,1,Who needs an iPod?,"I love my Sansa e260!  The only con I have is I think the earbuds are a bit tacky, an easy fix.  I've had no freeze-ups, as others report.  Add a nice case and screen protector to your Sansa and you've got a solid, reliable mp3 player that's built to last.  As an added benifit you can feel good about yourself as others pass by with their high dollar iPods like a herd of sheared sheep! Aestheticly the iPod IS sexy, but as you set up house with your Sansa you'll discover, perhaps with a bit of surprise, that it's a hottie too.",2,53,SanDisk,249.99,Sandisk SDMX4-4096 Sansa e260 4 GB MP3 Player with SD Expansion Slot,Brand->SanDisk,BatteriesIncluded->0,ClothingSize->4 GB,Binding->Electronics,Color->Black,"Feature->Convert most popular video formats (MPEG-4, WMV, DivX) to play on device",Feature->User-replaceable rechargeable lithium-ion battery for up to 20 hours of life,Format->CD,HardDiskSize->4,IsAutographed->0,IsMemorabilia->0,ItemDimensions,Label->SanDisk,"LegalDisclaimer->This Site operates AS-IS and AS-AVAILABLE, without liability of any kind. We are not responsible for events beyond our direct control. This Policy is governed by Florida law, excluding conflicts of law principles. Any legal actions against us must be commenced in Florida within one year after the claim arose, or be barred.",ListPrice,Manufacturer->SanDisk,DisplaySize->1.8,EAN->0619659026363,"Feature->Sleek, ultra-thin digital audio/image/video player with 4 GB of flash memory","Feature->Compatible with MP3, WMA, and WMA-DRM10 music files (PlaysForSure)",Feature->FM tuner with record capability and voice recorder; bright 1.8-inch color TFT LCD
527169,A4O8VSOIPC142,0,1,43,B000ETVKHE,6/1/2009,1,0,2,Don't buy SANSA,Get an Ipod.  I've tried 2 Sansa MP3 players and they both quit working after 6 months.,2,53,SanDisk,249.99,Sandisk SDMX4-4096 Sansa e260 4 GB MP3 Player with SD Expansion Slot,Brand->SanDisk,BatteriesIncluded->0,ClothingSize->4 GB,Binding->Electronics,Color->Black,"Feature->Convert most popular video formats (MPEG-4, WMV, DivX) to play on device",Feature->User-replaceable rechargeable lithium-ion battery for up to 20 hours of life,Format->CD,HardDiskSize->4,IsAutographed->0,IsMemorabilia->0,ItemDimensions,Label->SanDisk,"LegalDisclaimer->This Site operates AS-IS and AS-AVAILABLE, without liability of any kind. We are not responsible for events beyond our direct control. This Policy is governed by Florida law, excluding conflicts of law principles. Any legal actions against us must be commenced in Florida within one year after the claim arose, or be barred.",ListPrice,Manufacturer->SanDisk,DisplaySize->1.8,EAN->0619659026363,"Feature->Sleek, ultra-thin digital audio/image/video player with 4 GB of flash memory","Feature->Compatible with MP3, WMA, and WMA-DRM10 music files (PlaysForSure)",Feature->FM tuner with record capability and voice recorder; bright 1.8-inch color TFT LCD
527167,A2H70VX89OLY9Q,0,1,41,B000ETVKHE,2/7/2009,2,0,2,well at least i didn't waste alot of money.,"Lets start by saying i have had scandisk products before, and they were a pretty good product. This particular product is by far the lowest quality lowest recomended, lowest bidder built piece of garbage that i have ever owned. For the same general price point, i would recomend the coby, or spend the extra money and get a zune. i had a n ipod nano, and if it werent for itunes, i would have kept it. it is slow, cumbersome to navigate, and the sound quality is poor. (compared to the ipod, coby, and zune)i DO NOT recomend this to anyone.",2,53,SanDisk,249.99,Sandisk SDMX4-4096 Sansa e260 4 GB MP3 Player with SD Expansion Slot,Brand->SanDisk,BatteriesIncluded->0,ClothingSize->4 GB,Binding->Electronics,Color->Black,"Feature->Convert most popular video formats (MPEG-4, WMV, DivX) to play on device",Feature->User-replaceable rechargeable lithium-ion battery for up to 20 hours of life,Format->CD,HardDiskSize->4,IsAutographed->0,IsMemorabilia->0,ItemDimensions,Label->SanDisk,"LegalDisclaimer->This Site operates AS-IS and AS-AVAILABLE, without liability of any kind. We are not responsible for events beyond our direct control. This Policy is governed by Florida law, excluding conflicts of law principles. Any legal actions against us must be commenced in Florida within one year after the claim arose, or be barred.",ListPrice,Manufacturer->SanDisk,DisplaySize->1.8,EAN->0619659026363,"Feature->Sleek, ultra-thin digital audio/image/video player with 4 GB of flash memory","Feature->Compatible with MP3, WMA, and WMA-DRM10 music files (PlaysForSure)",Feature->FM tuner with record capability and voice recorder; bright 1.8-inch color TFT LCD
527156,A1E77OGIS10AQN,0,1,30,B000ETVKHE,8/4/2007,2,0,2,"Think twice, think Apple","What appeared to be a simpler, less expensive way to go MP3 was a complete dissappointment.  After only 2 weeks the player overloaded and froze up on me, and it was truly a great big MP3 flop.  Stay with the brand you know, buy an iPod and don't buy any other MP3 player.  OK, Sony makes a few worth having, but Apple, rules.  Rock on...",2,53,SanDisk,249.99,Sandisk SDMX4-4096 Sansa e260 4 GB MP3 Player with SD Expansion Slot,Brand->SanDisk,BatteriesIncluded->0,ClothingSize->4 GB,Binding->Electronics,Color->Black,"Feature->Convert most popular video formats (MPEG-4, WMV, DivX) to play on device",Feature->User-replaceable rechargeable lithium-ion battery for up to 20 hours of life,Format->CD,HardDiskSize->4,IsAutographed->0,IsMemorabilia->0,ItemDimensions,Label->SanDisk,"LegalDisclaimer->This Site operates AS-IS and AS-AVAILABLE, without liability of any kind. We are not responsible for events beyond our direct control. This Policy is governed by Florida law, excluding conflicts of law principles. Any legal actions against us must be commenced in Florida within one year after the claim arose, or be barred.",ListPrice,Manufacturer->SanDisk,DisplaySize->1.8,EAN->0619659026363,"Feature->Sleek, ultra-thin digital audio/image/video player with 4 GB of flash memory","Feature->Compatible with MP3, WMA, and WMA-DRM10 music files (PlaysForSure)",Feature->FM tuner with record capability and voice recorder; bright 1.8-inch color TFT LCD
527162,A3EPODOSD2KXHS,0,1,36,B000ETVKHE,1/20/2008,5,0,2,Genial!!!,"Mucho mejor de lo esperado el producto, muy f?cil de navegaci?n, de cargar la m?sica y en men? muy intuitivo, lo ?nico medio molestoso son los aud?fonos, un tanto inc?modos, pero cuesti?n de adaptarse. Recomendable",3,53,SanDisk,249.99,Sandisk SDMX4-4096 Sansa e260 4 GB MP3 Player with SD Expansion Slot,Brand->SanDisk,BatteriesIncluded->0,ClothingSize->4 GB,Binding->Electronics,Color->Black,"Feature->Convert most popular video formats (MPEG-4, WMV, DivX) to play on device",Feature->User-replaceable rechargeable lithium-ion battery for up to 20 hours of life,Format->CD,HardDiskSize->4,IsAutographed->0,IsMemorabilia->0,ItemDimensions,Label->SanDisk,"LegalDisclaimer->This Site operates AS-IS and AS-AVAILABLE, without liability of any kind. We are not responsible for events beyond our direct control. This Policy is governed by Florida law, excluding conflicts of law principles. Any legal actions against us must be commenced in Florida within one year after the claim arose, or be barred.",ListPrice,Manufacturer->SanDisk,DisplaySize->1.8,EAN->0619659026363,"Feature->Sleek, ultra-thin digital audio/image/video player with 4 GB of flash memory","Feature->Compatible with MP3, WMA, and WMA-DRM10 music files (PlaysForSure)",Feature->FM tuner with record capability and voice recorder; bright 1.8-inch color TFT LCD
