Body,Date,Feedbacks,HelpfulFeedbacks,MemberID,ProductID,Rating,RealName,ReviewID,ReviewOrder,Title_x,Verified,Label,Sales Rank,Brand,Sales Price,Title_y,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
"We recently got DirecTV after seeing their ad blitz for 75 HD channels.  They brag about their ""digital picture and sound,"" and their great customer service. The truth is the only way to get digital picture and sound is with a HDTV and an HDMI.  Their picture is actually worse than the picture we got with Comcast.  Not to mention there is no two year agreement with cable, no picture loss when it rains, you do not have to pay for ""leased equipment, and you do not need an ugly dish hanging on your house. When we purchased our most recent HDTV, we figured we would replace the DVR we had with DirecTV and get an HD DVR to replace it. DirecTV told us we would have to pay $299 for the privlige of leasing their receiver from them.  In addition to this we would have to pay $50 because we were a new customer ""and had not established a credit history with them.""  Also, we would have to pay $20 for shipping and handling and extend our contract for another two years. Maybe DirecTV thinks it is in the cellphone business because all they want to do is lock you into long-term contracts and make you bleed money for them forever.  Their symbol should be a ball and chain because that is what they really are.  Cable here I come!",11/24/2007,45.0,14.0,AMQ1MEG334SAP,B000EUJJ12,1.0,1.0,526941.0,1.0,A Lot of Hot Air!,0.0,1,28976,DirecTV,99.0,DIRECTV H20-600 High Definition DIRECTV Satellite Television Receiver,Label->DirecTV,Brand->DirecTV,Manufacturer->DirecTV,EAN->0410100247821,MPN->H20-600,,,,,,,,,,,,ProductGroup->CE,Publisher->DirecTV,Studio->DirecTV,Title->DIRECTV H20-600 High Definition DIRECTV Satellite Television Receiver,UPC->185463000030
"We recently got DirecTV after seeing their ad blitz for 75 HD channels. They brag about their ""digital picture and sound,"" and their great customer service. The truth is the only way to get digital picture and sound is with a HDTV and an HDMI. Their picture is actually worse than the picture we got with Comcast. Not to mention there is no two year agreement with cable, no picture loss when it rains, you do not have to pay for ""leased equipment, and you do not need an ugly dish hanging on your house. When we purchased our most recent HDTV, we figured we would replace the DVR we had with DirecTV and get an HD DVR to replace it. DirecTV told us we would have to pay $299 for the privlige of leasing their receiver from them. In addition to this we would have to pay $50 because we were a new customer ""and had not established a credit history with them."" Also, we would have to pay $20 for shipping and handling and extend our contract for another two years. Maybe DirecTV thinks it is in the cellphone business because all they want to do is lock you into long-term contracts and make you bleed money to them forever. Their symbol should be a ball and chain because that is what they really are. Cable here I come!",11/25/2007,7.0,3.0,AMQ1MEG334SAP,B000ERD6HS,1.0,1.0,528019.0,4.0,A Lot of Hot Air!,0.0,1,32625,Direct TV,199.95,DIRECTV R15 Receiver/Digital Video Recorder--Up to 100 Hours,Feature->Digital audio output,EAN->0185463000054,Label->Direct TV,Feature->DIRECTV« receiver - Built-in DVR -  Record up to 100 hours,ListPrice,UPC->185463000054,,,,,,,,,,,Manufacturer->Direct TV,ProductGroup->CE,Publisher->Direct TV,Studio->Direct TV,Title->DIRECTV R15 Receiver/Digital Video Recorder--Up to 100 Hours
"the shape is awesome you can never find an mp3 player like this the price is great it fits so many songs and real cool. i would defenuitely buy it again if i had to chose another mp3 player their are 2 problems: 1. the headphones are like a collar so you always have to wear your cube on your neck becasue having a cube in your pocket is a little uncomfortable 2. the cube's music list when you axcess the menu cant be divided(ex. artists, album, genre) it just one big list in alphabeticla order. so if whant a song  by the authors name and you dont know the song name then you cant find it",12/16/2006,0.0,0.0,A2CXKBO6IFVZM4,B000EGXL5Q,4.0,1.0,528885.0,6.0,very nice,0.0,1,30679,Hyun Won America. Inc.,119.99,mobiBLU Cube DAH-1500i 2 GB Digital Audio Player Blue,Brand->MobiBLU,BatteriesIncluded->1,Color->SILVER,Binding->Electronics,EAN->0808728001954,Label->Hyun Won America. Inc.,ListPrice,Manufacturer->Hyun Won America. Inc.,Model->DAH-1500i 2GB Blue,MPN->DAH-1500i 2GB Blue,PackageDimensions,ProductGroup->CE,Publisher->Hyun Won America. Inc.,Studio->Hyun Won America. Inc.,Title->mobiBLU Cube DAH-1500i 2 GB Digital Audio Player Blue,UPC->086753091809,"Feature->World's smallest digital audio player (February 2006), at 0.63 ounces and 0.94 inches square",Feature->2 GB memory holds 32 hours of MP3 and 64 hours of WMA audio,"Feature->Plays MP3, WMA, and secure WMA (compatible with online stores and subscription services)",Feature->Integrated FM radio with 20 presets and record function; built-in microphone and voice recorder,Feature->Unique OLED display; internal lithium-polymer battery charged via USB connection or AC adapter
"the shape is awesome you can never find an mp3 player like this the price is great it fits so many songs and real cool. i would defenuitely buy it again if i had to chose another mp3 player their are 2 problems: 1. the headphones are like a collar so you always have to wear your cube on your neck becasue having a cube in your pocket is a little uncomfortable 2. the cube's music list when you axcess the menu cant be divided(ex. artists, album, genre) it just one big list in alphabeticla order. so if whant a song by the authors name and you dont know the song name then you cant find it",12/16/2006,1.0,1.0,A2CXKBO6IFVZM4,B000EGTCEK,5.0,1.0,528899.0,5.0,very nice,0.0,1,20126,Hyun Won America. Inc.,119.99,mobiBLU Cube DAH-1500i 2 GB Digital Audio Player Black,Brand->MobiBLU,BatteriesIncluded->1,Color->Silver,Binding->Electronics,EAN->0808728001947,ItemDimensions,Label->Hyun Won America. Inc.,ListPrice,Manufacturer->Hyun Won America. Inc.,Model->DAH-1500i 2GB Black,MPN->DAH-1500i 2GB Black,PackageDimensions,ProductGroup->CE,Publisher->Hyun Won America. Inc.,"SpecialFeatures->nv:Supported Formats^MP3|Supported Formats^WMA|Supported Formats^WMA DRM|Internal Storage^2GB|Display Type^EL Backlit OLED|Interface^USB 2.0|Power Source^Built-in Lithium-Polymer Rechargeable Battery|Dimensions^0.94"" x 0.94"" x 0.94""",Studio->Hyun Won America. Inc.,"Feature->World's smallest digital audio player (February 2006), at 0.63 ounces and 0.94 inches square",Feature->2 GB memory holds 32 hours of MP3 and 64 hours of WMA audio,"Feature->Plays MP3, WMA, and secure WMA (compatible with online stores and subscription services)",Feature->Integrated FM radio with 20 presets and record function; built-in microphone and voice recorder,Feature->Unique OLED display; internal lithium-polymer battery charged via USB connection or AC adapter
"If you're reading this.  You are thinking about dropping some serious cash so I will try and help you out! If you're trying to decide between this, which is Adobe production studio premium or the Standard Edition do not buy  The Standard Edition, you get so much more with this version, I repeat do not buy the Standard Edition. You're probably interested in getting the Adobe production studio premium edition.  I have to tell you, this is a great product, the dynamic link is such an amazing feature a links together.  Adobe After Effects, Adobe Premiere Pro and Adobe encore, seamlessly.  You can take Adobe After Effects compositions into premiere Pro without rendering.  Then if you need to edit the composition you just pop back into after effects, tweak it adjust it pop back into premiere and is automatically updated.  It is just an amazing thing to see it in action. After effects has got a total facelift, along with encore audition and premiere Pro.  Gone is the ""palette-tosis"" of the old programs.  Where you would lose palettes have palettes on top of palettes not know where to find a palette.  The new facelift is totally awesome. Stability: I've been using these programs for few days, and they are totally stable.  One crash, I think I had and I think was my fault.  Adobe encore, I feel is the best improvements from the old version making a DVD with the new flowchart is so amazingly simple. Adobe After Effects 7.0 after effects is the bomb is you such an amazing program.  Once you get past the user interface and learn some of the nuances you can do almost anything and mean anything with video is awesome.  7.0 has the ton of user presets.  The text effects are great.  The backgrounds that you can create that come as presets, all editable.  A cool thing is with a new user presets, you can see them actually preview and Adobe Bridge.  This is cool! Adobe Premiere Pro 2.0 this program now is more in line with user interface from premiere elements.  The one thing I really enjoy now about from your Pro 2.0.  Is that I can import MPEG files from my replay TV and edit them.  This is something that was sorely lacking in from your Pro 1.5 user interfaces been revamped in the new style.  He just feels a lot cleaner smoother and more stable. Adobe audition 2.0 this program, I think has gotten the most drastic user interface upgrade.  I'm not really in the audio is what don't really know what under the hood is changed.  I do know it's got ASIO drivers now.  That is a big deal if you're an audio.  But now the user interface is more in line with all the other a video products.  Was nice about audition now is that if you have a audiophile in premiere Pro 2.0.  You can now send it to audition, change it or modify it save it and it brings it back right into premiere.  No reimporting, that is so cool. Adobe encore 2.0 if you're wondering about Adobe encore this upgrade is nice.  The automatic slideshow creator, while only limited to 99 photos per slideshow is a nice feature.  I'd use it already.  There are some limitations in the slideshow creator like again, only 99 photos per slideshow but you could link unlimited slideshows back to back to back, but you're still limited to 99.  In each slideshow.  Stability I feel in this program is vastly improved the old encore.  I was so like I was teetering on the edge of losing my whole project.  I feel of it safer and encore 2.0.  It has a ton more templates is integration with Adobe Photoshop and with Adobe After effects is amazing.  You will love it! Adobe Bridge 1.0 this program is quirky.  It crashed about 20 times.  It has the potential to be really great, but it's good takes a more time to get there.  Building of this program as your media manager.  Again, it's not there yet.  I'm still using Adobe Photoshop elements, the tagging portion to organize my digital photographs. Adobe dynamic link this program really isn't a program, but it is a program.  If you know and mean?  Basically dynamic link links together all of the applications in the production studio.  Now the hitch is you can't get this if you buy the program separately.  So to see it in action, you have to buy the production studio.  Another reason why you should invest.  But once you have it up and running.  You will be amazed.  It simplifies workflow drastically one place all this in action I bought it enough said. So there you have it my micromini review of Adobe production studio premium.  Something to keep in mind, this does come with a disk of totaltraining that reviews each of the programs give you some of the new features it about two hours.  Not really great but it's free.  When you install it the first time.  You wanna register online seeing a free plug-in are a couple templates that they offer you if you miss this opportunity the first time you install it.  You will not get another chance I believe, so make sure you register. This install comes on five DVDs income of five gigs of loops for Adobe audition, a bunch of DVD templates, and other goodies. Another thing to note, you will not be old to upgrade individual programs.  Once you buy the production studio.  So this means that if a new version of Photoshop CS3 comes out.  You will have to wait to upgrade the production studio.  You can't upgrade individual products.  This kind of rots but I guess you gotta deal. This does have online activation That's all I can think of at the moment, if I think of anything more.  I'll update this review.  Go to Adobe's web site and download the program demos.  The one thing you won't get is dynamic link so you'll have to use your imagination and see how it will fit in.  Also check out the creative cow (dot) com. With the production studio, you also get Adobe Photoshop CS2 in Adobe Illustrator CS2.  That is a huge bonus. Have some fun and get it done",2/7/2006,6.0,4.0,A4WEZJOIZIV4U,B000E8JLD0,5.0,1.0,529596.0,1.0,This program or should I say this group of programs is so cool.  It's a must buy!,0.0,1,993,Adobe,1249.0,"Adobe Production Studio Premium (Upgrade from Premiere Pro, Photoshop, or After Effects Pro)",EAN->0718659494827,Binding->DVD-ROM,ESRBAgeRating->Rating Pending,Brand->Adobe,"Feature->Create editable and scalable vector artwork for your film, video, and web productions, now with advanced painting, drawing, and type tools",ItemDimensions,Label->Adobe,ListPrice,Manufacturer->Adobe,Model->23160132,MPN->23160132,PackageDimensions,Platform->Windows XP,ProductGroup->Software,Publisher->Adobe,ReleaseDate->2006-01-20,Feature->Eliminate rendering with Adobe Dynamic Link (only in Production Studio),Feature->Unified design environment for higher productivity -- get up to speed quickly and work more efficiently,"Feature->Organize and browse content files,from Adobe Bridge into your film, video, audio, and DVD productions","Feature->All-in-one toolset for professional audio production, including looping and audio restoration capabilities",Format->CD-ROM
"If you're reading this.  You are thinking about dropping some serious cash so I will try and help you out! If you're trying to decide between this, which is Adobe production studio premium or the Standard Edition do not buy  The Standard Edition, you get so much more with this version, I repeat do not buy the Standard Edition. You're probably interested in getting the Adobe production studio premium edition.  I have to tell you, this is a great product, the dynamic link is such an amazing feature a links together.  Adobe After Effects, Adobe Premiere Pro and Adobe encore, seamlessly.  You can take Adobe After Effects compositions into premiere Pro without rendering.  Then if you need to edit the composition you just pop back into after effects, tweak it adjust it pop back into premiere and is automatically updated.  It is just an amazing thing to see it in action. After effects has got a total facelift, along with encore audition and premiere Pro.  Gone is the ""palette-tosis"" of the old programs.  Where you would lose palettes have palettes on top of palettes not know where to find a palette.  The new facelift is totally awesome. Stability: I've been using these programs for few days, and they are totally stable.  One crash, I think I had and I think was my fault.  Adobe encore, I feel is the best improvements from the old version making a DVD with the new flowchart is so amazingly simple. Adobe After Effects 7.0 after effects is the bomb is you such an amazing program.  Once you get past the user interface and learn some of the nuances you can do almost anything and mean anything with video is awesome.  7.0 has the ton of user presets.  The text effects are great.  The backgrounds that you can create that come as presets, all editable.  A cool thing is with a new user presets, you can see them actually preview and Adobe Bridge.  This is cool! Adobe Premiere Pro 2.0 this program now is more in line with user interface from premiere elements.  The one thing I really enjoy now about from your Pro 2.0.  Is that I can import MPEG files from my replay TV and edit them.  This is something that was sorely lacking in from your Pro 1.5 user interfaces been revamped in the new style.  He just feels a lot cleaner smoother and more stable. Adobe audition 2.0 this program, I think has gotten the most drastic user interface upgrade.  I'm not really in the audio is what don't really know what under the hood is changed.  I do know it's got ASIO drivers now.  That is a big deal if you're an audio.  But now the user interface is more in line with all the other a video products.  Was nice about audition now is that if you have a audiophile in premiere Pro 2.0.  You can now send it to audition, change it or modify it save it and it brings it back right into premiere.  No reimporting, that is so cool. Adobe encore 2.0 if you're wondering about Adobe encore this upgrade is nice.  The automatic slideshow creator, while only limited to 99 photos per slideshow is a nice feature.  I'd use it already.  There are some limitations in the slideshow creator like again, only 99 photos per slideshow but you could link unlimited slideshows back to back to back, but you're still limited to 99.  In each slideshow.  Stability I feel in this program is vastly improved the old encore.  I was so like I was teetering on the edge of losing my whole project.  I feel of it safer and encore 2.0.  It has a ton more templates is integration with Adobe Photoshop and with Adobe After effects is amazing.  You will love it! Adobe Bridge 1.0 this program is quirky.  It crashed about 20 times.  It has the potential to be really great, but it's good takes a more time to get there.  Building of this program as your media manager.  Again, it's not there yet.  I'm still using Adobe Photoshop elements, the tagging portion to organize my digital photographs. Adobe dynamic link this program really isn't a program, but it is a program.  If you know and mean?  Basically dynamic link links together all of the applications in the production studio.  Now the hitch is you can't get this if you buy the program separately.  So to see it in action, you have to buy the production studio.  Another reason why you should invest.  But once you have it up and running.  You will be amazed.  It simplifies workflow drastically one place all this in action I bought it enough said. So there you have it my micromini review of Adobe production studio premium.  Something to keep in mind, this does come with a disk of totaltraining that reviews each of the programs give you some of the new features it about two hours.  Not really great but it's free.  When you install it the first time.  You wanna register online seeing a free plug-in are a couple templates that they offer you if you miss this opportunity the first time you install it.  You will not get another chance I believe, so make sure you register. This install comes on five DVDs income of five gigs of loops for Adobe audition, a bunch of DVD templates, and other goodies. Another thing to note, you will not be old to upgrade individual programs.  Once you buy the production studio.  So this means that if a new version of Photoshop CS three comes out.  You will have to wait to upgrade the production studio.  You can upgrade individual products.  This kind of rots but I guess you gotta deal. This does have online activation That's all I can think of at the moment, if I think of anything more.  I'll update this review.  Go to Adobe's web site and download the program demos.  The one thing you won't get is dynamic link so you'll have to use your imagination and see how it will fit in.  Also check out the creative cow (dot) com. With the production studio, you also get Adobe Photoshop CS two in Adobe Illustrator CS two.  That is a huge bonus. Have some fun and get it done",2/7/2006,0.0,0.0,A4WEZJOIZIV4U,B000E8JLBW,5.0,1.0,529601.0,2.0,Is this product worth it in one word - yes it is - okay three words,0.0,1,2691,Adobe,1699.0,Adobe Production Studio Premium,EAN->0718659494759,Binding->DVD-ROM,ESRBAgeRating->Rating Pending,Brand->Adobe,"Feature->Create editable and scalable vector artwork for your film, video, and web productions, now with advanced painting, drawing, and type tools",IsAutographed->0,IsMemorabilia->0,ItemDimensions,Label->Adobe,ListPrice,Manufacturer->Adobe,Model->23160097,MPN->23160097,PackageDimensions,Platform->Windows XP,ProductGroup->Software,Feature->Eliminate rendering with Adobe Dynamic Link (only in Production Studio),Feature->Unified design environment for higher productivity -- get up to speed quickly and work more efficiently,"Feature->Organize and browse content files,from Adobe Bridge into your film, video, audio, and DVD productions","Feature->All-in-one toolset for professional audio production, including looping and audio restoration capabilities",Format->CD-ROM
"Why settle for less, when you can get a brand new original colorful ultra-cool Sony VAIO FJ series laptop with 1GB RAM, 100GB disk, DVD writer, built-in webcam, etc. and all for Free! I got mine from this web site:  stuffgratis.biz/laptop",6/3/2006,2.0,0.0,ACSPCQJ54XQXM,B000E502UO,5.0,0.0,530013.0,1.0,Get a free Sony VAIO FJ instead!,0.0,1,518,Acer Computer,999.99,"Acer TravelMate TM4202WLMi 15.4"" Notebook PC (Intel Core Duo Processor T2300, 1 GB RAM, 100 GB Hard Drive, DVD+/-RW Drive)",CPUManufacturer->Intel,Binding->Personal Computers,CPUSpeed->1.66,Brand->Acer Computer,DisplaySize->15.4,Feature->Windows XP Professional,FloppyDiskDriveDescription->None,HardDiskSize->100,ItemDimensions,Label->Acer Computer,ListPrice,Manufacturer->Acer Computer,Model->LX.TAV06.040,ModemDescription->Fax / modem,MPN->LX.TAV06.040,PackageDimensions,EAN->0099802522612,Feature->Affordable notebook PC with 15.4-inch LCD; 1.67 GHz Intel Core Duo T2300 with 2 MB L2 cache,"Feature->100 GB hard drive, 1 GB of RAM (2 GB max), dual-layer/multi-format DVD burner","Feature->Four USB 2.0, Type II PCMCIA slot, headphone (with SPDIF support), microphone",Feature->Intel Graphics Media Accelerator 950 (128 MB of shared RAM); tri-mode 802.11a/b/g wireless connectivity
"Why settle for less, when you can get a brand new original colorful ultra-cool Sony VAIO FJ series laptop with 1GB RAM, 100GB disk, DVD writer, built-in webcam, etc. and all for Free! I got mine from this web site:  getbestfreestuff.com/laptop",4/18/2006,25.0,2.0,A3LQWEOWBEGZSW,B000E1HDB4,5.0,0.0,530175.0,1.0,Get a free Sony VAIO FJ instead!,0.0,1,395,Hewlett Packard Office,1500.0,"HP Pavilion dv8110us 17"" Notebook PC (AMD Turion 64 Mobile Processor ML-32, 512 MB RAM, 80 GB Hard Drive, DVD+/-R/RW and CD-RW Combo Drive)",Brand->Hewlett-Packard,BatteriesIncluded->0,CPUManufacturer->AMD,Binding->Personal Computers,CPUSpeed->1.8,"Feature->Four USB 2.0, one Firewire, one VGA, one S-Video, one PCMCIA, microphone, headphone, IR receiver","Feature->10/100 Ethernet; 56K (V.90) modem, 54-Mbps wireless LAN (802.11b/g) with HSM/Speedbooster support","Feature->Windows XP Home edition, SP2; HP Image Zone Plus",FloppyDiskDriveDescription->None,HardDiskSize->80,ItemDimensions,Label->Hewlett Packard Office,ListPrice,Manufacturer->Hewlett Packard Office,Model->EP404UA#ABA,ModemDescription->Fax / modem,CPUType->AMD Turion 64,DisplaySize->17,EAN->0882780371446,Feature->Multimedia-focused laptop with 17-inch Brightview screen and 1.8 GHz AMD Turion 64 ML-32 with 512 KB L2 cache,"Feature->80 GB hard drive, 512 MB of RAM (2 GB max), multi-format DVD/CD burner with dual-layer support"
"I upgraded from Wordperfect Office 12 to X3, but have returned the upgrade to Wordperfect.  The much touted ability to import PDF files is so poorly implemented that it is all but unusable.  In addition, the Wordperfect Mail component will not load data files while my antivirus (ZoneAlarm) is running in the background.  Corel Technical Support takes no responsibility for the incompatability.  Do not upgrade unless these issues are addressed.",1/23/2006,33.0,23.0,A27U8QEUJFMCF6,B000DN7JMQ,2.0,1.0,530631.0,11.0,Does Not Perform As Advertised,0.0,1,2198,Corel,299.99,Corel WordPerfect Office X3 Standard Edition,Brand->Corel,BatteriesIncluded->0,Creator->Windows,Binding->CD-ROM,EAN->0735163106046,"Feature->Suite-wide PDF export capabilities enable users of Corel WordPerfect Office X3 to turn documents, spreadsheets and presentations into PDF files without additional PDF software, making sharing content via the open PDF format simple and cost-effective",Format->CD,IsAutographed->0,IsMemorabilia->0,ItemDimensions,Label->Corel,ListPrice,Manufacturer->Corel,Model->WPX3STDENGPC,MPN->wpx3stdengpc,PackageDimensions,ESRBAgeRating->Rating Pending,Feature->WordPerfect X3 for word processing.,Feature->Spreadsheet application Quattro Pro X3.,Feature->Presentations X3 for multimedia presentations.,Feature->Includes the new WordPerfect MAIL email application.
"I upgraded from Wordperfect Office 12 to X3, but have returned the upgrade to Wordperfect. The much touted ability to import PDF files is so poorly implemented that it is all but unusable. In addition, the Wordperfect Mail component will not load data files while my antivirus (ZoneAlarm) is running in the background. Corel Technical Support takes no responsibility for the incompatability. Do not upgrade unless these issues are addressed.",1/24/2006,55.0,42.0,A27U8QEUJFMCF6,B000DINBWS,2.0,1.0,530667.0,10.0,Not Worth The Upgrade,0.0,1,2376,Corel,159.99,Corel WordPerfect Office X3 Standard Edition Upgrade,Brand->Corel,BatteriesIncluded->0,Creator->Windows,Binding->CD-ROM,EAN->0735163106053,"Feature->Suite-wide PDF export capabilities enable users of Corel WordPerfect Office X3 to turn documents, spreadsheets and presentations into PDF files without additional PDF software, making sharing content via the open PDF format simple and cost-effective",Format->CD,IsAutographed->0,IsMemorabilia->0,ItemDimensions,Label->Corel,ListPrice,Manufacturer->Corel,Model->WPX3STDENGPCUG,MPN->wpx3stdengpcug,PackageDimensions,ESRBAgeRating->Rating Pending,Feature->WordPerfect X3 for word processing,Feature->Spreadsheet application Quattro Pro X3,Feature->Presentations X3 for multimedia presentations.,Feature->Includes the new WordPerfect MAIL email application
