ReviewID,MemberID,Verified,RealName,ReviewOrder,ProductID,Date,Rating,HelpfulFeedbacks,Feedbacks,Title_Review,Body,Label,Sales Rank,Brand,Sales Price,Title_Product,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
528304,A1N8OBUE89TAM,0,1,3,B000EPAP1U,1/8/2009,4,0,0,Great value,"Prior to buying this product, we were using 2 different wireless phone systems so we its a pain to transfer calls, maintain phone numbers, caller IDs, etc. We needed to replace it with one phone system that can accommodate at least 4 handsets so 2 years ago we bought the Uniden DCT646-4 expandable wireless set.  Here are my thoughts on this phone: * Setup was not quick as each handset needs to be configured but it was relatively smooth and straightforward.  Once you know how to configure one handset, the rest are mechanical. * I have had handsets with better call quality but also had some that are worse, so this phone is probably average when it comes to call quality.  Its clear enough for me and the person on the other line so it works. * Each handset can be identified by name so I thought that was a nice feature.  If I needed somebody, I know which handset to call/page to get to the right person or room. * The voicemail button setup can be a bit cumbersome when you change providers and voice mail access numbers (like we did) as each handset needs to be configured.  I don't know how many people have different voice mails for the same line but this should have been one global (propagating to all handsets) setup or at least an option to have it configured as such. * The caller ID is useful to screen out callers but unfortunately there is no way to just ignore the call and stop the ringing for all handsets all at once.  You can press ""End"" on one handset but only that one stops ringing.  The rest will keep on ringing until the voicemail system takes over.  This was especially irritating when our youngest was still a baby and we forgot to take the handset out of the room he's sleeping in or when there are visitors in the house.  There should be one button to just ignore the call and send it to the voicemail. All in all, there are things I would want improved on this system but for the price and features this Uniden system is a great value.",0,9094,Uniden,139.99,"Uniden DCT646-4 Digital 2.4 GHz expandable Cordless system, call waiting/ caller ID and accessory handset and charger",Brand->Uniden,BatteriesIncluded->1,Color->silver/ black,Binding->Electronics,EAN->0050633320372,IsAutographed->0,IsMemorabilia->0,ItemDimensions,Label->Uniden,ListPrice,Manufacturer->Uniden,Model->DCT646-4,MPN->DCT646-4,PackageDimensions,ProductGroup->CE,Publisher->Uniden,Feature->2.4 Digital With Caller ID and 4-Handsets,Feature->Integri sound life like audio,Feature->100- number shared caller ID/phonebook memory,Feature->intercom between handsets,Feature->direct link 2 way radio system
528306,A1FVW47U1G96QV,0,1,5,B000EPAP1U,11/17/2007,5,1,1,Easy To Use!,"This ends the problems with having different complicated phones scattered about. This set is good looking, easy to use, and you only have to plug one into a phone jack. The others you can place where you want them without worrying about the phone line. So good I bought 2 sets! Easy to handle and clear sound with all the features you need!",0,9094,Uniden,139.99,"Uniden DCT646-4 Digital 2.4 GHz expandable Cordless system, call waiting/ caller ID and accessory handset and charger",Brand->Uniden,BatteriesIncluded->1,Color->silver/ black,Binding->Electronics,EAN->0050633320372,IsAutographed->0,IsMemorabilia->0,ItemDimensions,Label->Uniden,ListPrice,Manufacturer->Uniden,Model->DCT646-4,MPN->DCT646-4,PackageDimensions,ProductGroup->CE,Publisher->Uniden,Feature->2.4 Digital With Caller ID and 4-Handsets,Feature->Integri sound life like audio,Feature->100- number shared caller ID/phonebook memory,Feature->intercom between handsets,Feature->direct link 2 way radio system
528301,AAO5HSYB23WW9,0,0,46,B000EPLRFI,6/2/2006,5,84,87,I love it,"I love it. It is not perfect, but it is close. The black looks great. It is not shiny, but matte. It is not painted on, but infused in poly-whatever material used to make the case. It is durable and buffs clean from fingerprints when needed. The magsafe connector is great. I have damaged other laptops from tripping over the power cord, no more with magsafe. I also love the lack of a latch, as magnets hold the laptop closed--a nice touch. It gets a bit warm, but honestly it doesn't bother me. I prefer that the fans are as quite as they are. It is a trade off, cool computer=loud computer. I prefer a bit warmer and whisper quiet as the MacBook is. What else can I say? It is super fast, it runs OS X and Windows, it has a beautiful screen, and it feels great in my hand, and works perfectly. I can make DVDs that play on my lousy cheap DVD player hooked to my TV (that my PC can't seem to). I think the huge track pad is great. You can use two fingers to scroll thru documents and use two fingers instead of one to right-click. Yes, a Mac laptop that can right click--finally. The only complaint is the speakers are small and not very loud for some things. Without headphones, hearing sound when watching DVDs is hard, since DVDs have a wide sound range, so the lower volume sound, like dialog can be difficult to hear whereas the music and explosions are easier. Even if I turn it up full volume, I cannot hear everything. To make this better, I downloaded the free VLC player for DVDs and media, as it allows me to boost the gain with an equalizer, and be able to hear dialog. iTunes also has an equalizer, so boosting the gain is fine in that program. Upshot, speakers small, not perfect, if a problem, use headphones or software that adds an equalizer. If you want to save money, buy the white one, it is a better deal, and some prefer how it looks. I like the black, so I paid the extra money. Newegg has memory for it, and its cheaper than Apple's by far, and this MacBook is super easy to upgrade memory to 2 gig. I highly recommend more memory if you are a power user. Overall, I love it.",0,137,Apple Computer,1499.99,"Apple MacBook MA472LL/A 13.3"" Notebook PC (2.0 GHz Intel Core Duo, 512 MB RAM, 80 GB Hard Drive, SuperDrive)-Black",Brand->Apple,BatteriesIncluded->1,Color->Black,Binding->Personal Computers,CPUManufacturer->Intel,Feature->512 MB (two SO-DIMM) 667 MHz DDR2 SDRAM (PC2-5300); 80 GB 5400 rpm Serial ATA hard drive; slot-load SuperDrive (DVD?RW/CD-RW),"Feature->One FireWire 400, two USB 2.0 ports, Mini-DVI port with support for DVI, VGA, S-video, and composite video output (requires adapters, sold separately)",Feature->Built-in 10/100/1000BASE-T (Gigabit); built-in 54 Mbps AirPort Extreme (802.11g); built-in Bluetooth 2.0+EDR,"Feature->13.3-inch (diagonal) glossy TFT widescreen display, 1280 x 800 resolution",FloppyDiskDriveDescription->None,HardDiskSize->80,Label->Apple Computer,ListPrice,Manufacturer->Apple Computer,Model->MA472LL/A,ModemDescription->None,CPUSpeed->2,CPUType->Intel Core Duo,DisplaySize->13.3,EAN->0885909108046,Feature->2.0 GHz Intel Core Duo processor with 2 MB shared L2 Cache
528300,A2W248L4J2M647,0,0,45,B000EPLRFI,6/1/2006,4,61,69,One of the best bang for your money,"I would rate this 4.5, but there is no option. I do not feel that it deserves 5.0 either due to a few issues. Well, overall impression is very good. Great looking as most Apple's  products. 1""thick and has decent small factor for road warrior. Performance: It is about 2-3 times faster than my old 12.1 G4PB depending on what you run. Everything is very snappy and OS Tiger and iLife'06 work flawlessly. One of the best OS yet. I recommend to reinstall the system. I get around 5GB back by eliminating those programs, etc. that I do not need. Otherwise, it takes around 17GB for complete installation. Quite a lot as it comes straight from factory, me think. Features: Well, here is what MacBook really shines. It comes with all you would ever need at the best price package. Look at specs yourselves and you will understand what I am saying. I would recommend getting aftermarket memory stick (1GB costs around under $90). Even upgrade to 1.25GB, it is really worth it. Unlike old small iBook, MacBook aftermarket do-it-yourselves upgrade is a breeze whether memory or harddisk. What is hot: 1. Built-in iSight is pretty good. Better than my expectation. 2. Very nice responsive keyboard and trackpad. You might need to adjust your trackpad response per your personal preference. 3. Keyboard at first look seems unusual, but after a few hours, it think that it does stand out from usual crowd. 4. Nice wireless iDVD remote. 5. Subtle glossy screen, delivers awesome picture quality, while dose not produce too much glare while you are outdoor. 6. Magsafe is one great addition. Very well thought out and design indeed. What is not: 1. Heat is way beyond my liking. However, it is only at top left of the laptop bottom, where you connect power supply (Magsafe). It is not just warm at that spot, it is blistering hot. This is very imminent when using AC regardless of power setting. While on battery at battery saver mode, it does cool down and only gets warm. I highly suggest that you get cooling pad to max out longevity of your precious lappy. 2. Small lappy factor is not that great. Well it is a tad lighter than MBP by about 0.4lb. 5.2lb is pushing for most true road warriors. Considering many other goodies you will be carrying in your bag. The old small Mac lappies weigh around 4.2-4.6lb only. Bottomline: If you want the hottest lappy in the market now, go get it. If you think that you can wait, you might want to wait toward the end of the year. I am being hopeful to see MBP in 12 or 13"" or Apple improves heat problem for all their new laptops. Well, MBP heat issue is known since the release until today.",0,137,Apple Computer,1499.99,"Apple MacBook MA472LL/A 13.3"" Notebook PC (2.0 GHz Intel Core Duo, 512 MB RAM, 80 GB Hard Drive, SuperDrive)-Black",Brand->Apple,BatteriesIncluded->1,Color->Black,Binding->Personal Computers,CPUManufacturer->Intel,Feature->512 MB (two SO-DIMM) 667 MHz DDR2 SDRAM (PC2-5300); 80 GB 5400 rpm Serial ATA hard drive; slot-load SuperDrive (DVD?RW/CD-RW),"Feature->One FireWire 400, two USB 2.0 ports, Mini-DVI port with support for DVI, VGA, S-video, and composite video output (requires adapters, sold separately)",Feature->Built-in 10/100/1000BASE-T (Gigabit); built-in 54 Mbps AirPort Extreme (802.11g); built-in Bluetooth 2.0+EDR,"Feature->13.3-inch (diagonal) glossy TFT widescreen display, 1280 x 800 resolution",FloppyDiskDriveDescription->None,HardDiskSize->80,Label->Apple Computer,ListPrice,Manufacturer->Apple Computer,Model->MA472LL/A,ModemDescription->None,CPUSpeed->2,CPUType->Intel Core Duo,DisplaySize->13.3,EAN->0885909108046,Feature->2.0 GHz Intel Core Duo processor with 2 MB shared L2 Cache
528289,A3F35R77OSWTLL,0,1,34,B000EPLRFI,10/19/2006,4,7,7,I love Apple,"I got my mac in the month of May, soon after apple released this grt machine into the market. Its really nice right from fast 2GHz intel duo processor from finshing - good looking black. I like mac very much,but the problem is majority of technical software were designed to run on windows. Here I got the solution. I use mac for general web browsing and switch over to windows (on the same laptop ) to work on technical software.........really grt........nothing to loose. You can experience the real power of the processor when use advance computing software........... probably get surprised at the first time. One thing I have to mention is apple customer care. I got the problem with my macbook after a couple of months. The technician at apple store said there is a problem with MLB of my macbook and sent it to reapir. (Since Iam still under warraty its free of charge.) After one week i got it back and when I turned on ............................................... Oh....... again the same problem. (I dont know what the guys did after keeping it for one week.  but the report says they changed the MLB) I rushed to apple store on  the same day.  WITHOUT ANY THINKING, THERE THE MANGER OFFERED ME  TO GET IT EXCHANGED WITH NEW MACBOOK. And now Iam using that new one that seems alright to me.  And it is great thing that apple  cares for customers than anything else!!!!!!!!!!! One thing I would like to mention is the battery time. the apple website says upon full charge you  get upto 6 hours. In practice it never happens and can you imagine how much time you get the battery when you are using it for regular netsurfing?...........................................Belive me its  typically around 2 hrs!! If you need to work off the power for long time than macbook may not perform upto your expectations. Other wise everything is good and is worth for your money.",0,137,Apple Computer,1499.99,"Apple MacBook MA472LL/A 13.3"" Notebook PC (2.0 GHz Intel Core Duo, 512 MB RAM, 80 GB Hard Drive, SuperDrive)-Black",Brand->Apple,BatteriesIncluded->1,Color->Black,Binding->Personal Computers,CPUManufacturer->Intel,Feature->512 MB (two SO-DIMM) 667 MHz DDR2 SDRAM (PC2-5300); 80 GB 5400 rpm Serial ATA hard drive; slot-load SuperDrive (DVD?RW/CD-RW),"Feature->One FireWire 400, two USB 2.0 ports, Mini-DVI port with support for DVI, VGA, S-video, and composite video output (requires adapters, sold separately)",Feature->Built-in 10/100/1000BASE-T (Gigabit); built-in 54 Mbps AirPort Extreme (802.11g); built-in Bluetooth 2.0+EDR,"Feature->13.3-inch (diagonal) glossy TFT widescreen display, 1280 x 800 resolution",FloppyDiskDriveDescription->None,HardDiskSize->80,Label->Apple Computer,ListPrice,Manufacturer->Apple Computer,Model->MA472LL/A,ModemDescription->None,CPUSpeed->2,CPUType->Intel Core Duo,DisplaySize->13.3,EAN->0885909108046,Feature->2.0 GHz Intel Core Duo processor with 2 MB shared L2 Cache
528243,A3HAOIT3XS3TIL,0,1,16,B000EQKXFM,5/12/2006,4,30,30,Pleasantly surprised!,"I received the iHome iH5 for Christmas, but returned it because one of the speakers buzzed.  I didn't replace it because of reports of this problem recurring.  I decided I didn't need an FM/AM Radio w/ iPod dock after all.  Until I ran across the TEAC GR-10i at Costco.  I was skeptical at first, but I decided to give it a tray after receiving a coupon. At first, I was worried about its larger size, but I find that its size probably contributets to its bigger sound - far superior to the iHome; probably on par with speakers that cost 2 to 3 times as much.  I just can't believe this unit produces such rich (with deep bass) sound.  The AM and FM reception is also very good - I can receive all my favorites quite clearly, where usually I have to settle for half of them (with static!).  And it comes with a seemingly sturdy remote (weighs twice as much as you'd expect, and the material feel strong). My only complaints are its size, the gray color, and lack of battery backup (power failures >30 sec resets everything, according to the manual).  Its performance ranks a 5; its cosmetics and lack of a few features ranks a 4.  Other problems for other folks are the lack of a full complement of alarm clock features (such as snooze!) and docking plates for the newest iPods (video and nano). Bottom line is if you want great AM/FM reception and the ability to listen your iPod through the dedicated port (or any other source via its aux input located in the front), then this is hands-down the winner (certainly over the iHome).",0,12585,TEAC,99.99,TEAC Hi-Fidelity Table Radio,EAN->0043774021246,BatteriesIncluded->0,Feature->iPod Dock (iPod charges while playing),Brand->TEAC,Feature->Digital AM/FM Tuner with 20 Station Presets,Manufacturer->TEAC,Model->GR-10i,MPN->GR-10i,PackageDimensions,ProductGroup->CE,Publisher->TEAC,Studio->TEAC,Title->TEAC Hi-Fidelity Table Radio,UPC->043774021246,,,Feature->Tuned-Port Speakers for Hi-Fi Stereo Sound,Feature->Large LCD with Dimmer,Feature->Remote Control Included,Label->TEAC,ListPrice
528227,A65PVGQOYKYHX,0,0,7,B000EQVMZC,4/16/2006,5,11,11,Good stuff,"We have a 97 Jeep Cherokee and the black vinyl wheel surround (not sure of the term) had faded terribly, they were almost a whitish grey. We applied about 3 coats of this product (it goes on easily with the applicator bottle it comes with). The first coat was splotchy because the vinyl soaked up the stuff. Then, by the 2nd and 3rd coat, it was becoming more of an even coat. Whalaa, I cannot believe the difference. I will try to post before and after pictures. It has made a huge difference in how the vehicle looks, and now we will see how it holds up over time. We had enough to do three coats around all four wheels. There seems to be enough in the bottle to repeat another treatment if necessary in the future. I would recommend this product.",0,6499,Forever Black,9.95,Forever Black Bumper & Trim Cleaner & Reconditioner Kit,Manufacturer->Forever Black,EAN->0704168628105,ProductGroup->Automotive Parts and Accessories,Label->Forever Black,Publisher->Forever Black,,,,,,,,,,,,Studio->Forever Black,Title->Forever Black Bumper & Trim Cleaner & Reconditioner Kit,,,
528220,A1FMDVOJBAISVM,0,1,8,B000EQXY1C,5/17/2006,2,71,72,Developer take note: can't produce real blueprints!,"I have long been a fan of 3D Home Architect and have used my old version to design a dozen units of housing, usually on my own but with a professional architect's assistance on a few. This month I sat down to redesign my kitchen and, seeing that the copyright date on my old software (version 3) was 1999, was inspired to try out the newly released 3D HDS8.  My experience with the new product has been frustrating, disappointing, and time-consuming. I feel sympathy for the software developers:  they have clearly worked very hard to add a lot of features, and have increased the ""power"" of this tool to enable the user to make it ""do what I mean"".  To their credit, the limitations of version 3 have pretty much been eliminated:  if you have the patience you can model virtually any 3D object within the design space.  However, their marketing bosses have castrated the end result:  sure it's fun to play with a eunuch, but what's the point if it can't generate offspring? It seems that this product has been demoted from top-of-the-line to a second tier.  It seems that if you want the fully-enabled progeny of this software development team, you will have to fork over $600 for a big-brother product that is marketed through different channels under a different name.  My sympathy for the developers:  their reputation will be dependent on consumer reaction to this mainstream product. The good news: what you get with this product is essentially a designer's ""video game"" that allows you to create beautiful on-screen images.  There are a number of ways to render your product on screen, most of which were present in version 3 but there are some extensions to these features that make version 8 superior. The bad news:  once you've taken the time to create a perfect on-screen rendition of your project (a major time sink, it's as addicting as a video game--with every feature including the kitchen sink thrown in, the temptation to add detail is irresistable), there is no way to ""create blueprint-style plans to print or email"" as promised on the product's box.  Also, code bloat has slowed everything down: version 3 worked well on a Pentium 600MHz with 256Mb, version 8 requires a computer that hasn't been invented yet. Two of my favorite features of version 3 have been ripped out:  the ability to darken wall lines when printing, and the ability to view horizontal cross sections in 3D view (the latter is replaced by a whiz-bang but useless 2D vertical section view).  This product gives you no printing options whatsoever; all you can do is print whatever's on the screen in 150, 300 or 600 dpi. Without the ability to print, I can't use this product to communicate anything other than fancy 3D pictures of the interior. Unfortunately, I can't revert to version 3 either:  there is no import/export utility for data files.  So I will have to find another program for future products, this one isn't what I was hoping for. Developers, take note:  in version 9, PLEASE add real blueprint printing capability.  I need to take these drawings down to the city building department once in a while.  The ones I got in version 3 were amateurish but serviceable.  Version 8 cannot be used to generate drawings, period.",0,538,Encore Software,89.99,3D Home Architect Home & Landscape Design Suite Version 8,EAN->0705381106302,Binding->CD-ROM,ESRBAgeRating->Rating Pending,Brand->Encore Software,Feature->Powerful and easy-to-use home and landscape design software,Label->Encore Software,ListPrice,Manufacturer->Encore Software,Model->23029,MPN->10630,PackageDimensions,Platform->Windows XP,ProductGroup->Software,Publisher->Encore Software,ReleaseDate->2006-04-04,Studio->Encore Software,Feature->Browse 1500 home plans and 7500-plant encyclopedia for inspiration,Feature->Create ready-to-build blueprint-style plans for home and landscape,Feature->Add sound effects and voice-overs to virtually animated tours,Feature->View project in realistic 3-D; convenient wizards and tutorials,Format->CD-ROM
528210,A1WM8DNWJ8SCEL,0,0,139,B000ER5G58,9/17/2006,4,54,59,Lives Up to the Hype,"I have listened to the hype about TIVO for a couple of years now.  With the hundred dollar plus rebates on the hardware, as well as substantial discounts on the service, I thought I'd break down and give it a try.  Here' my experience... The Good... 1. Very intuitive user interface for the set-up screens and remote; it could be argued that Tivo is the gold standard for ease of use 2. Very secure packaging of unit 3. Included cabling is of unusally high quality (not Monster cable grade, but still very good for included cabling) 4. Installation directions are very easy to follow (though not as good as Dell's color coded design) 5. There is a 30 day money back guarantee 6. Customer reps are friendly and well trained (and they speak english too!) The Bad... 1. The front of the box says all required cables are included; the directions state that a second A/V cable -- required for the recommended installation method -- is ""user provided"" (i.e., sold separately) 2. The service is not compatible with some VoIP services 3. Though set-up is easy, it is a one to two hour ordeal, requiring multiple visits to websites and countless button presses to ensure interoperablity with the cable box 4. The remote is pretty low tech looking; it also has a lower quality feel tha leads me to belive that I'll be shopping for a replacement in a year or less The Ugly... 1. They try to get you to sign up for a three year, pre-paid service contract; if after 30 days you find that you don't like/need Tivo, you forteit all that money -- ouch! 2. When I attempted to use the website to activate the service, the site was unstable and wouldn't allow me to complete the order.  I then called the 800 number for service, where the hold time exceed 25 minutes.  Hope I never have cause to call again as this is a totally unacceptable wait time Net/net: this is a well thought out product that does just what it says it does -- enables consumers to watch TV on their terms.",0,581,TiVo,249.99,TiVo TCD649080 Series2 80 Hour Dual Tuner Digital Video Recorder,Brand->TiVo,BatteriesIncluded->0,Feature->Dual-tuner TiVo box can record programming from two different channels at once; optimized for cable users,Binding->Electronics,Feature->Digitally record up to 80 hours of programming,ListPrice,Manufacturer->TiVo,Model->TCD649080,MPN->TCD649080,PackageDimensions,ProductGroup->CE,Publisher->TiVo,Studio->TiVo,Title->TiVo TCD649080 Series2 80 Hour Dual Tuner Digital Video Recorder,UPC->851342000346,,Feature->USB and Ethernet ports offer ability to stream digital music and photos from a computer to TiVo and transfer programming to PCs,"Feature->TiVo service includes Season Pass, WishList, program guide, digital music, digital photos, and online scheduling",Feature->Everything required for installation is supplied; subscription to TiVo service is additional requirement,ItemDimensions,Label->TiVo
528209,ABOTQXNUBA1MM,0,1,138,B000ER5G58,7/21/2006,5,57,64,"TiVo's 80 Hour Dual: Less TV viewing, just better!","WOW! My wife bought me this for Father's Day. I'm not a jewelry type of guy, but TiVo is drop-dead freakin' awesome, speechlessly amazing! If you don't know TiVo: plug it in, let it set itself up, and every time you turn on your set, it quietly records as you watch, so if you get up to take a call or get a snack, no problem: TiVo's got you covered. Watch ""The Dead Zone?"" Take a 20 minute break and let TiVo start taping for you: you'll zip through what you don't want and back up to what you want to see again. No tape, no picture loss. TiVo starts with a 15 second or so guide over your picture of what's on that show, how long and whatever else you need to know; not even ""Today Show"" is immune from TiVo knowing what's coming up. If you think there's nothing good on, use TiVo to search it all out. Cut your cable back to basic, bud; you'll have more finds with a lot less, guaranteed. Program what you want to copy via the net. Yahoo! support for photos and junk. Fandango ticket purchases, movie previews, it will even learn, if you want it to, what you like to watch. Very, very easy to hook up although working it into my LCD TV has yet to figure out what hook up is best, although we rewired it and the picture dramatically improved, so thanks Tivo for showing me a few options that were better! I do NOT use TiVo's alphabetical directory of shows: slow. I DO use Yahoo! TV guides to just click and pick: fast and easy as pie. My eMac still can't use TiVo's desktop app, but one'a these days I'll get it working. Slide shows: better than I thought I'd ever use. Love it! Check out the newest features and tutorials; you'll just flip and keep flipping. Recommended: Sign up for the 3-year plan and f'get about it. By the time it's paid up, the next generation of Tivo will be around. It is a safe bet. Anybody who trash-talks TiVo doesn't know it, so tune out critics and tune in devotees and never, ever miss a good show again.",0,581,TiVo,249.99,TiVo TCD649080 Series2 80 Hour Dual Tuner Digital Video Recorder,Brand->TiVo,BatteriesIncluded->0,Feature->Dual-tuner TiVo box can record programming from two different channels at once; optimized for cable users,Binding->Electronics,Feature->Digitally record up to 80 hours of programming,ListPrice,Manufacturer->TiVo,Model->TCD649080,MPN->TCD649080,PackageDimensions,ProductGroup->CE,Publisher->TiVo,Studio->TiVo,Title->TiVo TCD649080 Series2 80 Hour Dual Tuner Digital Video Recorder,UPC->851342000346,,Feature->USB and Ethernet ports offer ability to stream digital music and photos from a computer to TiVo and transfer programming to PCs,"Feature->TiVo service includes Season Pass, WishList, program guide, digital music, digital photos, and online scheduling",Feature->Everything required for installation is supplied; subscription to TiVo service is additional requirement,ItemDimensions,Label->TiVo
