F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21
45,14,0.311111111,17,1228,5,9,1,0,4,10,0,2,0.00732899,0.038273616,0.006514658,1,1.455621302,0,0,0
0,0,,9,591,8,6,0,0,8,6,0.028582413,0,0.008460237,0,0,4,1.420118343,2,0,0
6,4,0.666666667,81,5842,1,4,1,0,47,39,0.100839256,7,0.005306402,0.028928449,0.004964053,5,1.5,2,0,0
2,0,0,32,238,3,1,1,0,3,0,0.02280734,3,0.016806723,0.084033613,0.029411765,5,0.666666667,2,0,0
33,23,0.696969697,30,445,1,18,0,0,3,12,0.105268662,2,0.006741573,0.040449438,0.006741573,2,1.444444444,0,0,0
9,9,1,47,1577,38,234,0,0,10,16,0.082259409,0,0.0082435,0.03043754,0.007609385,4,1.065481135,2,0,0
4,4,1,24,1326,36,6,0,0,16,24,0.098641083,2,0.001508296,0.023378582,0.00678733,3,1.094586556,1,0,0
3,1,0.333333333,45,1568,104,170,0,0,15,27,0.146579658,2,0.00255102,0.019770408,0.004464286,3,1.351742275,1,0,0
2,2,1,38,593,13,35,0,0,4,12,0.055971083,0,0,0.040472175,0.021922428,1,1.399728384,0,0,0
1,0,0,51,810,4,20,1,0,13,11,0.037794135,0,0.002469136,0.014814815,0.002469136,4,0.790170132,2,0,0
8,8,1,17,660,40,120,0,0,7,12,0.030902716,3,0.007575758,0.027272727,0.006060606,1,1.329536015,0,0,0
7,6,0.857142857,9,866,15,23,0,0,8,7,0.053912151,2,0.006928406,0.041570439,0.006928406,5,1.512052593,2,0,0
